id,gender,mark,attendance,h1,h2,h3,gad1,gad2,gad3,gad4,gad5,gad6,gad7
1,1,65,80,170,171,169,2,3,2,2,2,2,2
2,2,72,82,168,167,NA,3,2,3,3,3,3,3
3,1,NA,85,NA,168,167,NA,1,2,2,2,2,2
4,NA,55,NA,165,166,165,1,NA,1,1,1,1,1
5,2,81,78,172,NA,171,2,2,NA,2,2,2,2
6,3,77,90,169,170,168,3,3,3,NA,3,3,3
7,1,68,88,167,166,NA,2,2,2,2,NA,2,2
8,2,NA,84,NA,169,170,NA,2,2,2,2,NA,2
9,NA,90,NA,171,170,169,4,4,4,4,4,4,NA
10,1,62,79,168,168,167,2,NA,2,2,2,2,2
11,2,70,81,170,NA,168,3,3,NA,3,3,3,3
12,1,NA,83,166,167,166,2,2,2,NA,2,2,2
13,3,58,87,168,169,170,1,1,1,1,1,1,1
14,2,66,86,NA,170,169,2,2,2,2,NA,2,2
15,NA,74,82,169,168,167,NA,3,3,3,3,NA,3
16,1,80,NA,167,166,NA,3,2,2,2,2,2,NA
17,2,NA,80,172,171,170,2,NA,2,2,2,2,2
18,1,69,85,168,167,168,2,2,NA,2,2,2,2
19,3,73,84,170,NA,169,3,3,3,NA,3,3,3
20,2,60,88,169,168,167,1,1,1,1,1,1,1
