student_id,group,mark,attendance,gender_code,h1,h2,h3,lik1,gad1,gad2,gad3,gad4,gad5,gad6,gad7
1,B,80.93775,94.9,1,164.4,168.3,171.4,4,3,0,3,2,1,0,2
2,A,58.35973,85.1,3,171.6,170.8,162.5,3,2,2,3,3,2,2,0
3,A,45.19076,83.9,3,170.7,168.7,182.3,1,0,2,0,2,3,0,1
4,C,87.14568,65.5,1,160.6,146.3,169.1,1,1,0,0,0,2,1,1
5,B,80.74939,76.8,2,163.3,156.4,172.2,5,0,2,3,2,2,3,1
6,B,61.42386,77.2,3,184.8,161.7,157.1,1,1,2,0,3,3,3,1
7,C,81.58477,73,1,164.5,166.8,159.9,3,3,1,1,2,1,3,3
8,A,79.12445,77.3,2,158,150.5,177,1,2,1,2,1,2,2,3
9,C,49.3846,86.6,1,172.1,170.7,171.5,4,2,1,3,2,3,0,2
10,A,48.15086,89.5,2,175,157.5,180,5,1,3,1,1,0,3,3
11,B,68.17019,72.3,1,145.6,180.2,192.8,5,2,0,0,2,2,3,0
12,A,89.65814,89.5,1,168.9,165.5,174.5,2,3,3,3,2,3,3,0
13,C,59.54994,83.7,1,187.9,162.1,169.4,5,1,0,2,2,3,0,0
14,C,82.16958,68.1,3,162.6,171.2,158.1,5,3,2,3,0,1,3,3
15,A,68.50772,67.3,2,166.5,169.8,179.5,3,3,3,3,3,2,3,3
16,B,36.4311,85.5,1,165.8,167.4,167.5,2,0,0,2,3,2,3,2
17,A,38.27665,77.2,1,154.9,176.1,158.8,3,1,1,2,1,0,0,1
18,B,53.38741,80.5,1,152.3,160.3,149.1,4,0,0,1,1,0,2,1
19,A,63.62901,85.4,3,161.1,182.3,154.4,3,1,0,0,2,1,3,2
20,A,71.75569,84.6,3,162.5,165.9,152.6,4,0,0,3,0,3,3,1
21,C,50.64609,84.3,3,152,171.2,179.9,3,1,0,3,3,3,0,2
22,B,91.85747,105.2,2,157.4,159.7,173.2,5,0,1,3,1,2,1,1
23,B,49.67473,70.6,2,171.5,173.5,165.1,2,3,1,1,2,0,0,3
24,A,61.82952,93.8,3,168.7,160.2,171.8,3,2,2,3,3,3,3,2
25,C,55.33423,92.8,1,181.3,174.2,169.8,2,2,3,1,3,0,0,1
26,A,50.03762,95,1,168.8,164,166.8,5,2,1,2,0,3,1,2
27,B,72.22891,86.1,3,160.8,156.5,164.6,5,2,3,2,2,1,2,3
28,B,60.19034,80.3,2,177.7,166.6,159.1,2,2,2,2,1,2,0,2
29,B,56.99837,75.1,1,152.9,164.1,175,3,2,0,2,0,2,2,1
30,A,55.82131,107.8,2,161.7,179.2,172.8,2,0,3,2,2,3,3,3
31,B,54.21092,63.9,1,175.3,163.4,184.6,4,0,3,3,1,3,3,1
32,B,62.31661,81.2,2,158,168.3,158.5,5,2,3,2,1,3,2,0
33,A,81.441,77.8,2,175.9,163.1,167.2,5,3,2,3,1,0,0,1
34,B,62.86741,93.2,3,152.9,154.4,177.5,2,1,0,0,0,2,2,1
35,B,36.11005,76.8,1,166.5,168.6,182.3,1,2,2,1,3,3,1,1
36,A,66.86383,87.4,1,178.7,168.7,164.3,4,3,1,2,2,3,1,2
37,A,61.04872,83.2,2,171.3,144.5,164.4,4,1,3,1,2,2,0,2
38,C,79.02359,79.9,1,183.3,176.3,172.2,3,2,3,2,2,3,0,3
39,C,73.5857,73.5,3,156.4,164.4,151.5,4,1,0,1,2,0,0,1
40,C,66.51097,63.3,3,151.3,165.2,163.4,4,3,2,2,0,2,3,1
41,C,53.62039,78.7,2,177.3,161.6,167.4,5,2,1,3,2,1,2,1
42,B,83.29179,98.5,2,194.4,168.3,167,2,3,0,2,3,0,2,3
43,A,67.324,91.8,2,174.1,169.4,158.3,1,3,0,0,0,2,0,3
44,B,63.27805,82.7,1,171.6,164.5,167.2,1,3,1,3,2,1,2,1
45,C,70.28498,83.8,1,165.9,152.8,173.8,2,2,0,2,0,3,2,2
46,C,41.76448,91.7,3,149.6,173.9,156.2,5,0,1,3,3,3,0,2
47,A,73.18074,80.6,3,168.5,171.9,159.1,3,3,0,2,3,3,1,1
48,B,59.94671,77.5,3,168.6,157.1,172.1,3,0,1,3,2,0,3,3
49,A,65.09475,75.7,2,164.8,163.9,163,5,1,3,1,0,1,3,1
50,A,61.39583,78.7,3,170.3,154.2,149.4,2,3,0,3,3,0,0,0
51,A,47.01519,70.6,2,159.6,154.2,169.3,1,0,1,3,3,3,2,2
52,B,38.14733,93.6,3,155.1,158.6,162.8,2,1,0,2,2,0,0,3
53,C,67.07402,73,2,156.7,161.2,163,4,0,2,1,2,2,3,2
54,B,66.02878,83.5,1,165.7,183.3,159.6,3,0,1,0,3,0,1,2
55,A,69.35691,80.1,3,168.8,169.7,183.1,3,3,1,3,0,3,1,2
56,B,68.87189,85.1,1,169.5,162.6,163.3,2,1,2,1,3,3,2,0
57,A,78.25075,87.4,3,158.9,184.2,151.4,5,2,2,3,0,2,0,2
58,A,55.3151,80.5,2,164,184.1,165,5,3,1,1,2,3,2,3
59,C,96.16425,98.6,2,163.5,170.1,158.7,3,0,0,2,1,2,2,3
60,C,65.90653,86.2,3,170,171.1,149.3,2,0,0,1,0,1,1,1
61,B,79.1285,83.1,3,169.1,174.7,172.7,4,1,1,0,0,0,3,3
62,C,55.13866,105.9,3,165.2,163.1,176.2,5,1,3,3,0,3,1,1
63,A,96.35615,81.4,1,163.7,166.8,166,5,3,2,2,3,1,1,2
64,C,55.97945,94.7,2,169.9,171.2,168.4,5,1,3,2,0,1,2,0
65,A,47.12002,76.2,1,164.5,166.5,160.6,4,2,0,0,3,2,2,3
66,C,60.87741,97.1,2,170.5,173.7,166.6,1,2,0,2,0,0,2,2
67,A,68.80562,90.5,3,183.9,174.3,158.9,5,2,3,1,0,2,1,1
68,B,67.40285,78.3,1,158.1,162.1,163.5,3,3,1,3,1,3,1,1
69,A,78.98596,75.2,3,166.9,156.3,163.1,2,0,1,1,0,1,3,3
70,B,61.94374,81.6,1,171.6,175.2,158.6,3,3,2,1,3,3,0,2
71,A,62.75328,76.8,3,171.3,175,173.9,3,3,3,0,2,2,0,2
72,B,76.6281,74.2,3,168.8,160.8,153.2,4,0,0,3,0,0,3,2
73,C,48.62585,86.2,2,174.7,166.3,177.3,2,2,2,2,0,1,0,2
74,B,62.95967,77.7,3,179.7,166.4,157.1,2,2,0,1,0,0,3,2
75,B,71.89341,73.4,3,172,172.5,156,2,3,0,0,1,2,3,3
76,A,74.4286,95.9,2,153.1,161.2,172.7,3,1,1,3,0,0,2,1
77,B,66.23534,73.2,1,173.3,143.4,165.3,4,3,1,2,2,1,2,1
78,A,53.29945,68,1,161.6,165,165,4,3,0,1,3,2,3,3
79,A,89.01658,95.7,2,165.3,173.2,172.3,3,0,2,0,1,0,0,0
80,B,72.86939,92.1,3,162.5,167.1,169.7,3,1,3,1,1,3,2,3
81,A,87.94858,82.4,3,166.3,157.1,170.5,1,1,0,2,0,2,3,3
82,C,77.0221,90.5,1,181.9,166.2,179.4,4,1,2,1,1,1,2,2
83,B,56.03089,82.2,3,156.9,164.2,171.1,4,0,0,2,2,3,3,2
84,A,88.90059,84,3,176.9,173.5,156.3,4,0,0,1,3,1,0,0
85,B,74.7183,88.5,2,185.1,167.2,168,1,3,0,1,0,3,1,0
86,B,78.87313,92.2,1,171.4,169.2,160.4,4,0,2,1,0,0,0,0
87,B,68.87642,73,3,186.7,166.4,168.1,1,1,2,3,1,2,2,3
88,A,64.89555,100.6,3,170.7,156.8,161.1,3,0,2,0,0,0,0,2
89,A,80.93132,99.3,3,169.1,173,160.3,1,3,1,0,2,2,0,1
90,C,54.18157,95.4,1,169,167.6,170.5,1,2,3,0,3,2,2,1
91,C,52.50497,90.7,1,182.5,151,169.8,4,2,1,3,2,3,0,1
92,C,68.77632,78.4,2,193.2,159.8,168.8,3,0,0,2,1,0,2,0
93,C,76.24425,78.9,1,178,176.9,172.9,5,2,3,3,2,3,2,2
94,C,76.57646,82.7,2,173,170.1,171,3,0,3,1,1,1,3,3
95,C,84.16189,79.6,2,160.5,163.3,183.4,2,2,0,2,3,3,3,2
96,C,53.99158,85.6,1,147.8,177,180,2,2,2,3,1,3,2,0
97,B,78.98715,91.1,1,185.3,153.9,173.4,4,1,3,0,0,0,2,1
98,B,76.25668,90.8,1,165.3,168.9,179.3,2,0,2,1,2,2,1,3
99,A,60.25151,91.7,3,185,160.7,161.6,5,0,1,0,3,2,3,2
100,C,51.00435,80.5,1,157.9,162.2,156.2,5,2,0,1,2,2,3,3
101,B,53.66425,78.2,3,171,171.5,169.3,2,1,0,3,1,3,0,3
102,C,64.49694,89.7,2,172.4,165.4,186,5,2,3,0,3,1,1,3
103,B,77.72041,87.1,3,166.3,157.1,165.6,5,2,2,2,0,2,2,3
104,B,71.08499,77.1,3,178.6,171.7,173.7,1,3,3,3,3,2,0,1
105,A,59.55685,80.5,1,189,152.3,165.9,2,2,3,2,2,2,0,2
106,B,58.73258,87.6,2,170.5,182.9,162.4,3,1,2,3,1,3,0,1
107,C,62.4511,70.7,3,165.2,168.6,152.7,2,3,0,3,1,2,1,2
108,C,55.38933,77.4,3,185.5,173.3,176.1,4,2,3,2,3,0,1,3
109,B,57.11402,75.4,2,179.4,170.6,170.2,4,1,1,1,0,1,2,0
110,A,61.89156,76.6,2,165.7,169.3,168.9,3,0,1,2,1,0,1,0
111,C,97.88393,63.2,2,165.7,175.6,158.9,4,3,1,3,0,2,2,0
112,B,68.76537,83,1,166.3,179.3,167.1,4,3,0,3,2,2,0,2
113,B,76.51394,85.2,3,173.4,161.6,156.3,4,2,1,1,2,2,2,0
114,B,78.62201,83.1,2,159.3,161.9,161.6,5,3,2,1,3,2,2,0
115,A,65.73108,78.4,2,158.3,169,158.6,2,0,0,3,1,2,2,2
116,B,49.35591,68,2,163.7,163.8,159.3,1,2,2,2,0,3,0,2
117,C,55.45279,72.9,2,172.6,177.3,166.6,5,1,1,3,1,3,3,0
118,B,84.48683,72.8,1,163.5,164.3,166.1,2,1,3,0,2,0,3,3
119,A,55.23324,83.7,2,172.8,158.3,184.8,4,3,3,2,0,0,0,3
120,A,52.78231,74.2,1,169.1,169.1,173.5,2,3,0,0,2,0,2,0
121,A,65.3194,91.1,3,142.9,183.6,154.9,3,1,2,1,0,2,1,2
122,A,47.88896,67.3,3,179.2,164.8,148.4,5,3,2,1,0,3,2,2
123,A,47.21733,92.9,2,181.5,171.8,177.4,2,2,0,0,2,3,0,0
124,A,66.88302,99,1,170.6,176.6,159.7,4,2,1,0,1,2,3,1
125,C,52.68736,78.5,2,158.9,168.1,157.3,1,0,3,1,3,3,0,1
126,C,57.00226,79.5,3,146.3,185.9,169.4,5,2,2,3,1,2,3,0
127,C,57.70427,92.5,1,167.9,163,178.4,2,1,0,1,0,3,2,3
128,C,58.69392,82.8,1,163.4,164.2,164.4,1,3,0,1,2,1,3,2
129,A,76.28647,76.1,1,165.7,164.3,175.6,5,1,3,3,1,3,2,2
130,C,35.7081,75.7,1,172.1,155.8,171.2,3,0,1,2,0,0,3,1
131,C,54.03901,99.7,1,158.8,162,168.3,4,3,1,1,2,2,0,3
132,B,86.65348,91,3,161.5,162.9,190.5,1,0,2,0,1,0,0,3
133,A,63.43606,77.1,1,164.8,161.3,162.6,1,1,2,0,1,1,1,1
134,A,76.45582,89.2,1,152.4,166.8,158.8,3,3,1,1,3,3,0,3
135,C,97.91364,89.7,2,167.5,187.4,153.6,1,1,1,0,3,2,2,0
136,A,68.12605,92.9,2,167.7,167,173.8,1,0,1,3,2,0,2,3
137,A,74.9563,81,2,169,162.3,191.3,3,1,1,2,2,0,1,3
138,C,72.6456,82.3,1,174.5,159.7,184.6,1,2,3,1,2,1,0,0
139,C,61.59824,57.5,1,170.3,174.2,164.4,4,1,2,3,2,3,1,0
140,C,49.67941,86.5,3,160.9,167.4,165.5,3,0,3,1,0,3,3,1
141,B,93.01588,71.3,1,169.1,169,169.3,1,2,0,3,1,0,2,0
142,C,74.79042,95.4,1,167.7,176.9,173.5,1,1,0,0,0,0,1,1
143,C,73.56741,93,1,164.8,172.7,159.9,1,0,0,0,1,0,3,1
144,C,87.43689,78.8,2,167.7,172.4,181.6,5,1,1,2,0,3,2,1
145,A,57.06329,92.4,2,176.5,177.2,175.2,1,3,1,1,2,1,3,1
146,C,70.76893,85.8,1,176.3,176.5,173.7,1,1,2,0,2,3,3,3
147,C,54.98897,79.3,3,170.7,164.9,160.2,1,0,1,3,1,1,2,2
148,A,76.06791,75.7,2,169.7,166.7,172.2,1,1,2,0,3,0,2,1
149,B,64.08968,82.1,3,176.5,177.2,177.7,1,2,0,3,0,2,0,2
150,C,57.78978,82.2,3,168,170.3,154.1,3,0,2,0,1,2,0,0
151,B,87.85088,81.1,1,174.4,152.1,157.8,2,0,3,1,2,2,2,2
152,B,69.85951,87.2,2,166.9,160,170.7,3,3,1,2,2,1,0,2
153,B,82.46269,79.3,1,177.9,162.8,170.2,5,2,3,3,0,3,1,3
154,C,53.31963,70,2,181.7,174.4,173.7,5,3,3,3,0,1,3,3
155,B,51.22213,89,1,160.6,163.4,170.4,1,1,1,3,0,0,2,2
156,C,68.72877,83.9,1,153.3,167.6,169.7,1,2,3,3,1,2,2,3
157,A,73.84093,80.6,3,167.2,185,160.8,5,1,2,2,3,1,1,0
158,B,60.80207,70,1,168.8,163.6,192.6,4,3,2,3,2,3,2,1
159,C,77.75107,71.9,1,160.9,176,169.5,4,2,0,2,3,2,2,2
160,A,49.51299,100.2,2,158.9,157.5,163.8,3,2,2,2,2,0,2,2
161,C,61.60998,80.2,3,180.6,181.2,161.3,4,0,2,2,2,2,0,2
162,C,58.83737,73.4,3,168.6,151,161.1,4,3,1,1,1,3,1,1
163,A,88.45913,95,3,167.2,176.7,160.9,2,3,3,0,1,2,1,0
164,B,61.54572,80.6,1,165.9,178,163.1,4,0,2,2,0,2,0,2
