psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,47,Female,72,2,3,2,3,3
2,53,Female,82,5,6,5,5,7
3,54,Female,86,6,6,6,5,5
4,39,Male,71,4,4,5,5,4
5,51,Female,60,3,4,5,4,4
6,47,Male,81,5,5,6,NA,6
7,61,Male,55,2,1,2,3,1
8,37,Female,NA,3,NA,4,5,5
9,30,Female,75,3,3,4,3,2
10,20,Male,61,2,3,2,3,2
11,42,Female,64,5,3,4,3,5
12,27,Female,73,4,5,6,5,4
13,26,Male,79,5,4,5,5,6
14,30,Male,59,4,3,2,3,4
15,41,Male,69,3,NA,3,2,NA
16,19,Female,62,3,2,5,4,5
17,40,Male,67,3,3,3,5,4
18,44,Male,76,5,5,NA,5,4
19,48,Prefer not to say,79,5,6,6,4,4
20,47,Male,62,5,3,5,4,4
21,43,Male,73,4,3,3,3,5
22,37,Male,77,4,4,4,4,NA
23,34,Female,54,4,3,4,3,4
24,24,Male,80,5,5,5,5,4
25,53,Female,60,6,4,6,4,4
26,42,Prefer not to say,50,2,2,1,2,1
27,69,Female,79,5,4,4,4,4
28,35,Female,73,4,4,4,5,4
29,43,Female,67,3,4,3,5,4
30,38,Male,61,4,4,4,3,2
31,48,Male,76,5,4,6,4,6
32,19,Male,83,5,5,4,5,6
33,37,Non-binary,64,6,7,6,5,5
34,40,Female,87,2,3,2,4,3
35,29,Female,90,3,4,4,5,5
36,40,Male,78,4,4,5,4,4
37,42,Female,77,5,2,5,NA,4
38,26,Male,71,5,2,3,4,4
39,42,Female,54,4,3,3,4,3
40,54,Female,NA,NA,2,4,3,2
41,18,Female,59,4,2,3,4,4
42,34,Male,59,3,4,2,4,4
43,50,Female,73,4,4,4,4,3
44,31,Prefer not to say,80,4,3,5,4,4
45,60,Female,62,3,4,3,3,3
46,38,Male,72,NA,4,4,3,5
47,23,Male,67,5,5,5,6,6
48,39,Male,75,3,3,NA,3,4
49,47,Female,67,4,4,4,4,4
50,24,Male,70,2,3,3,4,4
