psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,69,Female,100,5,4,6,6,5
2,19,Female,89,NA,5,5,4,6
3,24,Male,94,5,6,6,4,5
4,62,Female,NA,4,4,5,4,5
5,48,Female,85,5,3,5,5,6
6,34,Female,84,5,5,5,4,4
7,44,Female,78,4,4,4,5,6
8,19,Male,70,4,4,5,3,4
9,59,Female,67,3,4,4,4,2
10,34,Female,69,5,5,4,4,3
11,50,Female,60,4,4,3,3,4
12,53,Non-binary,75,4,5,4,5,5
13,26,Female,65,3,3,3,2,4
14,38,Female,72,4,5,2,NA,4
15,33,Male,45,4,2,2,1,1
16,29,Male,61,4,NA,4,3,3
17,50,Male,88,3,5,5,4,3
18,40,Male,94,5,5,6,NA,5
19,42,Female,81,6,7,5,6,6
20,57,Female,87,5,5,4,6,5
21,70,Non-binary,62,4,1,2,4,3
22,29,Female,72,2,1,3,2,NA
23,36,Male,61,4,4,4,3,4
24,44,Female,76,6,7,7,6,6
25,28,Female,85,4,4,5,3,4
26,51,Male,83,7,5,5,5,4
27,21,Male,48,4,2,2,3,3
28,56,Female,77,4,4,3,4,6
29,33,Female,91,4,4,4,4,2
30,41,Female,66,6,5,3,7,6
31,25,Female,69,4,3,4,4,4
32,32,Male,69,4,4,5,5,4
33,45,Female,79,3,3,4,4,4
34,41,Female,85,4,5,4,5,3
35,53,Female,87,5,4,5,4,3
36,21,Female,79,NA,3,4,3,5
37,20,Non-binary,52,1,2,NA,1,3
38,49,Female,76,6,3,7,4,6
39,27,Male,86,3,4,4,5,2
40,52,Female,82,5,6,5,6,5
41,39,Female,55,3,NA,2,2,2
42,41,Male,NA,4,4,4,5,4
43,46,Male,91,5,7,4,6,NA
44,52,Male,77,3,6,5,4,3
45,26,Female,79,2,3,2,3,4
46,57,Female,64,4,4,4,5,4
47,32,Female,54,5,4,NA,4,4
48,47,Female,75,4,4,4,4,4
49,54,Male,91,7,5,6,7,6
50,49,Female,80,4,3,3,4,3
