psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,39,Male,100,6,7,7,6,7
2,38,Male,82,4,4,3,5,5
3,19,Male,62,4,3,2,2,3
4,33,Female,77,5,4,3,5,4
5,46,Female,73,4,3,4,3,2
6,66,Prefer not to say,73,5,2,3,4,6
7,60,Female,69,4,2,4,4,3
8,48,Male,92,5,4,4,3,3
9,41,Male,82,5,4,5,3,6
10,24,Female,89,4,5,NA,5,4
11,29,Female,76,4,6,3,4,3
12,41,Female,78,7,4,5,6,5
13,19,Female,55,2,NA,3,3,3
14,41,Male,92,6,5,5,5,5
15,45,Female,NA,4,5,4,3,4
16,67,Male,76,7,7,7,6,7
17,49,Male,71,NA,5,5,6,4
18,42,Male,73,4,5,5,3,3
19,35,Male,99,6,6,7,6,7
20,54,Female,72,4,3,4,4,4
21,54,Male,75,5,5,4,4,5
22,31,Female,84,5,4,4,NA,6
23,53,Male,76,4,5,7,4,5
24,42,Female,68,4,3,3,3,2
25,23,Prefer not to say,77,6,5,4,5,4
26,44,Female,70,3,NA,4,2,2
27,29,Non-binary,79,6,5,5,5,5
28,55,Male,59,4,5,3,3,3
29,49,Female,NA,4,4,NA,3,3
30,55,Male,89,4,4,4,5,7
31,21,Non-binary,93,6,6,5,4,6
32,41,Female,67,2,3,2,3,1
33,43,Prefer not to say,66,4,4,5,4,6
34,40,Female,59,3,3,3,3,3
35,19,Male,54,2,1,1,1,1
36,36,Male,59,3,4,4,4,5
37,24,Male,80,6,6,6,5,5
38,63,Male,96,5,5,6,5,7
39,42,Male,72,5,3,3,3,3
40,49,Female,74,3,5,4,4,5
41,45,Female,64,2,3,2,4,3
42,63,Male,73,5,5,4,5,NA
43,41,Male,80,5,4,3,3,4
44,28,Female,74,5,5,5,4,5
45,43,Male,71,2,3,3,3,2
46,65,Female,76,6,4,4,4,4
47,51,Female,52,3,2,1,NA,NA
48,52,Male,63,NA,1,4,4,5
49,40,Non-binary,84,4,6,4,5,5
50,40,Male,76,4,5,5,4,5
