psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,40,Male,61,6,5,4,7,6
2,43,Non-binary,84,4,4,7,4,4
3,26,Male,63,3,4,3,4,4
4,90,Female,91,4,3,3,4,3
5,29,Female,79,3,5,6,4,6
6,52,Male,87,4,6,6,5,6
7,82,Female,79,4,4,5,5,4
8,21,Male,95,5,4,3,5,5
9,49,Male,79,4,3,5,4,4
10,68,Female,79,5,4,5,5,NA
11,19,Male,65,2,3,4,3,4
12,54,Male,68,4,5,4,4,3
13,46,Male,85,6,5,5,5,5
14,42,Male,64,3,4,2,3,3
15,21,Male,72,5,5,4,4,4
16,41,Male,50,1,NA,3,3,2
17,54,Male,73,2,3,2,2,3
18,57,Male,58,4,3,4,4,4
19,25,Female,72,6,7,6,4,5
20,33,Female,NA,4,4,3,2,5
21,44,Female,97,5,4,5,6,5
22,42,Female,80,4,6,6,5,4
23,58,Female,71,4,3,5,5,4
24,77,Female,51,4,3,4,3,2
25,42,Female,66,5,4,3,3,4
26,56,Female,72,4,3,6,4,4
27,48,Male,NA,3,3,3,5,5
28,39,Male,70,3,4,2,6,3
29,44,Non-binary,65,3,4,3,2,3
30,59,Female,81,6,6,7,6,6
31,46,Female,75,5,3,4,6,4
32,33,Male,84,5,4,3,4,5
33,29,Female,34,1,2,3,3,2
34,27,Male,61,5,5,7,5,5
35,55,Female,74,6,5,5,NA,6
36,27,Male,74,1,2,NA,2,1
37,37,Female,73,6,NA,NA,5,4
38,53,Female,89,6,7,6,5,NA
39,32,Male,84,4,4,2,4,4
40,38,Female,100,6,5,6,6,5
41,32,Male,67,3,5,4,4,4
42,58,Male,70,4,4,3,4,4
43,26,Male,71,4,3,5,NA,3
44,28,Male,76,NA,2,4,3,3
45,27,Male,86,4,6,6,6,5
46,60,Male,87,3,4,4,5,4
47,27,Female,59,4,5,5,4,5
48,37,Male,68,NA,4,4,4,3
49,31,Female,82,5,4,4,6,5
50,26,Male,100,6,6,6,5,6
