psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,21,Male,100,6,6,6,4,5
2,38,Female,89,6,6,6,5,5
3,61,Female,69,5,3,4,5,4
4,36,Female,83,6,6,4,6,6
5,18,Male,82,4,4,3,5,3
6,29,Female,69,4,3,4,4,4
7,29,Male,83,6,4,5,4,5
8,22,Male,66,4,4,4,4,5
9,67,Non-binary,57,NA,3,5,4,2
10,53,Male,81,2,3,2,3,2
11,49,Male,71,4,3,3,3,3
12,42,Prefer not to say,70,5,NA,6,6,7
13,68,Male,72,5,2,3,2,4
14,56,Female,87,5,7,7,6,7
15,21,Female,46,1,1,2,1,3
16,102,Male,66,3,2,3,NA,4
17,21,Female,82,3,4,4,4,3
18,76,Prefer not to say,77,4,6,6,6,6
19,54,Female,52,4,4,4,4,5
20,24,Male,73,4,4,3,2,3
21,31,Male,60,3,NA,4,2,1
22,45,Female,59,4,5,3,5,3
23,42,Female,64,4,3,4,4,4
24,56,Female,60,1,2,3,3,1
25,45,Female,73,3,3,3,3,2
26,42,Male,55,2,2,2,2,3
27,31,Prefer not to say,67,4,1,1,3,2
28,20,Male,59,4,6,NA,NA,4
29,80,Male,NA,4,3,3,2,3
30,39,Female,92,5,5,5,6,NA
31,59,Male,84,3,5,4,3,3
32,30,Female,84,5,5,5,5,5
33,51,Female,68,3,3,2,3,1
34,19,Female,79,5,6,6,6,5
35,26,Male,75,4,3,4,4,3
36,18,Male,62,4,3,NA,4,NA
37,39,Female,74,NA,6,4,3,5
38,44,Male,66,4,4,5,5,3
39,27,Prefer not to say,65,4,4,2,3,4
40,30,Male,49,3,4,5,5,4
41,29,Male,98,5,4,5,5,6
42,43,Male,72,4,5,4,4,3
43,42,Female,52,2,1,2,3,2
44,39,Male,60,5,4,6,4,2
45,55,Male,59,3,3,1,4,4
46,24,Female,64,4,5,4,4,5
47,37,Female,NA,5,4,5,4,4
48,60,Non-binary,64,4,5,4,5,3
49,80,Female,55,5,4,4,5,5
50,44,Female,71,4,4,3,3,3
