psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,33,Female,67,4,5,6,3,6
2,18,Female,NA,5,3,3,3,3
3,21,Male,84,4,4,6,5,NA
4,25,Non-binary,69,4,4,5,2,3
5,35,Female,88,4,5,4,4,6
6,55,Female,80,6,4,6,6,4
7,26,Female,74,3,3,4,4,4
8,23,Female,59,2,3,2,3,3
9,45,Male,93,4,3,6,6,5
10,41,Female,41,2,2,1,NA,1
11,54,Male,NA,4,4,6,4,4
12,41,Prefer not to say,44,2,2,NA,1,2
13,48,Male,63,2,3,3,2,3
14,34,Male,72,NA,4,5,4,5
15,46,Male,62,5,5,6,NA,5
16,44,Female,66,6,6,3,4,4
17,39,Female,72,4,4,5,5,3
18,38,Male,65,4,2,2,1,2
19,48,Male,68,1,3,3,1,2
20,48,Female,72,5,4,2,5,5
21,43,Male,93,7,7,6,5,5
22,18,Female,46,3,3,1,2,3
23,66,Male,86,5,5,NA,4,4
24,21,Male,84,3,3,3,5,4
25,41,Male,64,4,5,3,4,4
26,42,Female,61,4,4,4,4,3
27,24,Male,57,1,3,2,3,NA
28,21,Female,48,3,3,2,3,3
29,39,Male,70,4,4,3,3,4
30,18,Female,69,3,3,3,2,3
31,24,Male,75,4,4,4,3,4
32,28,Male,82,3,5,2,4,4
33,35,Female,63,3,4,3,2,4
34,31,Male,83,5,NA,4,5,5
35,30,Non-binary,100,6,6,7,6,5
36,36,Male,56,3,1,1,3,3
37,19,Prefer not to say,59,2,4,3,2,3
38,24,Female,65,3,4,3,3,4
39,37,Male,90,6,6,6,6,7
40,31,Female,74,4,4,5,5,4
41,48,Female,61,4,2,2,2,3
42,61,Female,100,NA,6,6,7,5
43,30,Non-binary,73,3,NA,3,2,1
44,33,Male,79,3,4,3,3,2
45,57,Male,79,3,4,4,4,5
46,52,Male,47,4,4,3,3,4
47,18,Male,74,4,4,4,5,4
48,50,Female,68,3,4,5,4,3
49,70,Male,93,3,5,5,5,5
50,52,Female,71,5,3,4,5,3
