psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,27,Non-binary,55,4,3,2,2,5
2,29,Male,61,3,5,3,3,4
3,27,Male,81,5,6,6,6,5
4,37,Male,62,2,3,4,2,3
5,37,Female,87,4,5,4,4,3
6,37,Male,82,7,6,6,6,6
7,25,Male,59,4,5,4,5,4
8,55,Non-binary,66,3,4,5,4,4
9,30,Prefer not to say,89,5,NA,6,6,5
10,67,Male,79,3,3,3,5,3
11,65,Male,100,6,6,5,7,6
12,24,Female,67,5,4,4,4,4
13,18,Male,63,4,3,4,5,3
14,47,Female,67,2,3,4,4,1
15,52,Male,70,5,4,3,3,4
16,55,Male,76,3,5,1,5,3
17,58,Male,73,2,2,3,4,3
18,56,Female,66,4,4,5,4,5
19,44,Male,76,3,2,5,4,4
20,50,Female,69,5,3,3,2,4
21,57,Prefer not to say,63,1,2,1,1,2
22,40,Female,NA,5,NA,NA,4,5
23,31,Male,68,4,4,5,5,5
24,19,Male,86,5,4,5,NA,NA
25,25,Male,86,4,5,6,6,4
26,48,Male,77,5,6,5,5,5
27,31,Female,87,7,6,5,5,7
28,19,Male,58,2,4,5,4,4
29,28,Female,74,NA,5,5,4,4
30,29,Male,67,4,3,4,4,4
31,32,Male,55,3,1,3,2,4
32,53,Male,86,5,4,6,4,5
33,60,Female,75,6,6,5,4,5
34,46,Male,77,5,5,5,4,6
35,58,Male,60,1,2,5,2,2
36,44,Male,65,2,3,3,4,4
37,18,Female,78,5,5,5,4,4
38,36,Male,69,NA,3,3,3,4
39,44,Female,74,4,3,4,5,4
40,46,Male,NA,4,4,5,3,4
41,44,Female,73,3,3,4,3,3
42,35,Non-binary,66,2,4,2,2,3
43,52,Male,95,4,5,6,3,5
44,44,Male,76,6,6,NA,6,4
45,57,Female,87,7,5,5,6,6
46,28,Female,69,6,6,6,5,4
47,19,Male,91,4,5,6,5,6
48,47,Male,73,5,6,4,5,6
49,33,Female,96,5,5,6,5,NA
50,37,Female,75,6,5,6,NA,6
