psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,39,Male,43,3,3,2,1,3
2,30,Male,65,2,3,4,3,3
3,29,Female,81,7,5,6,6,4
4,48,Female,89,4,7,5,6,4
5,39,Female,74,4,5,4,4,6
6,41,Female,67,3,4,3,3,4
7,46,Male,74,5,6,6,5,7
8,58,Male,92,5,4,5,6,NA
9,36,Female,74,5,5,6,5,5
10,51,Female,75,3,3,4,4,4
11,53,Male,62,3,3,2,4,4
12,29,Male,NA,4,4,4,3,6
13,47,Male,65,2,2,NA,2,4
14,28,Female,69,3,4,4,5,5
15,20,Male,88,4,4,5,4,5
16,69,Male,45,1,2,2,5,1
17,39,Female,86,5,NA,3,5,5
18,18,Male,58,4,4,4,6,3
19,37,Female,75,3,5,5,3,6
20,71,Male,57,2,NA,2,2,2
21,87,Male,74,4,4,4,4,3
22,40,Male,58,3,3,4,5,4
23,36,Female,72,NA,3,5,3,4
24,62,Female,70,6,5,6,4,7
25,34,Male,70,1,2,3,4,3
26,27,Male,82,6,5,4,NA,6
27,51,Male,85,4,5,4,5,3
28,31,Female,56,3,3,4,3,3
29,31,Male,81,2,5,4,3,3
30,58,Female,90,7,4,4,2,3
31,21,Female,45,3,2,2,1,4
32,34,Female,82,6,3,3,4,5
33,32,Female,61,2,4,3,2,2
34,19,Female,85,7,7,6,6,5
35,42,Female,95,7,4,7,7,6
36,34,Male,85,6,6,6,5,5
37,36,Non-binary,69,4,4,3,4,NA
38,26,Female,53,NA,4,4,5,3
39,40,Female,NA,3,3,2,3,3
40,49,Male,50,3,5,NA,5,2
41,60,Female,81,4,4,3,4,4
42,27,Female,74,5,4,6,5,4
43,34,Male,49,3,4,2,3,3
44,64,Male,81,3,4,4,4,4
45,39,Female,79,4,3,2,3,4
46,53,Male,63,4,4,4,4,5
47,47,Female,67,4,3,4,5,3
48,41,Non-binary,58,4,4,2,2,4
49,21,Female,87,5,5,5,NA,5
50,39,Female,89,6,5,6,5,3
