psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,66,Female,52,3,1,1,2,2
2,72,Female,72,3,1,3,4,3
3,40,Male,84,5,NA,NA,5,5
4,45,Male,91,4,6,6,6,5
5,57,Female,73,5,4,5,6,4
6,39,Male,84,4,5,4,5,NA
7,46,Male,NA,4,3,3,NA,3
8,46,Female,85,5,6,6,5,4
9,31,Male,83,6,4,5,5,NA
10,52,Female,81,3,4,5,4,4
11,53,Male,66,4,3,2,2,5
12,42,Male,65,4,5,4,4,5
13,37,Female,64,3,4,4,4,4
14,18,Female,63,1,2,3,4,3
15,20,Female,81,5,6,4,5,6
16,29,Female,86,5,6,4,5,5
17,28,Female,89,5,6,5,7,5
18,29,Female,70,4,5,6,5,6
19,66,Female,NA,6,6,4,5,6
20,42,Female,41,5,4,2,3,4
21,39,Male,72,3,3,5,2,5
22,28,Prefer not to say,62,3,2,3,3,4
23,42,Female,69,3,1,3,3,3
24,28,Male,61,1,1,2,2,2
25,59,Male,67,4,4,3,5,5
26,51,Male,67,4,6,NA,5,4
27,57,Female,77,5,3,3,4,5
28,24,Female,73,4,4,5,4,4
29,43,Female,79,5,6,5,6,5
30,43,Female,67,5,5,5,4,3
31,55,Female,93,5,5,5,4,6
32,57,Female,78,5,5,5,6,4
33,31,Female,71,4,5,5,4,5
34,38,Female,87,5,7,5,5,6
35,37,Female,89,4,4,5,5,5
36,29,Non-binary,89,6,5,6,7,5
37,56,Male,53,3,3,1,4,3
38,19,Non-binary,69,3,4,3,3,3
39,43,Male,74,3,NA,5,5,4
40,48,Male,41,2,2,3,3,2
41,34,Male,62,NA,6,5,4,5
42,19,Female,68,4,5,4,5,5
43,37,Male,94,4,4,5,5,5
44,32,Male,44,3,3,1,2,2
45,66,Female,55,4,3,4,4,4
46,45,Male,69,NA,3,2,4,2
47,55,Male,97,6,3,5,3,4
48,50,Male,78,3,4,4,5,3
49,32,Male,58,3,2,2,4,2
50,45,Male,74,3,4,5,NA,3
