psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Male,74,4,5,6,5,5
2,23,Male,65,6,5,4,4,5
3,38,Non-binary,78,5,5,6,4,4
4,43,Female,58,3,5,4,3,4
5,50,Female,80,4,4,5,4,3
6,68,Male,54,4,1,3,4,3
7,75,Female,69,6,4,4,5,5
8,37,Male,48,4,3,4,3,3
9,19,Female,82,4,4,6,NA,6
10,60,Female,67,5,4,7,4,5
11,40,Prefer not to say,64,3,3,3,4,3
12,41,Male,66,2,5,4,4,5
13,33,Female,66,3,4,4,3,2
14,46,Male,78,4,3,5,4,4
15,66,Male,76,4,5,5,4,5
16,60,Female,72,NA,4,4,4,5
17,44,Female,69,4,3,4,5,4
18,29,Male,89,5,4,NA,3,4
19,42,Male,82,4,4,5,5,6
20,49,Female,89,5,5,NA,6,6
21,35,Female,95,5,6,6,5,5
22,65,Male,70,3,5,3,4,3
23,58,Male,NA,5,6,6,4,4
24,57,Female,76,5,6,5,5,6
25,35,Prefer not to say,75,5,4,4,5,5
26,37,Female,51,3,2,1,4,4
27,74,Non-binary,70,NA,4,4,NA,2
28,53,Female,56,3,4,5,4,5
29,81,Female,85,6,7,4,6,6
30,50,Non-binary,60,4,3,3,4,4
31,36,Male,55,1,2,3,2,4
32,52,Female,78,5,NA,4,4,5
33,56,Male,75,5,3,3,5,4
34,20,Female,83,4,5,5,4,5
35,30,Male,61,3,4,2,3,3
36,30,Male,89,4,4,4,5,4
37,31,Female,91,6,5,5,6,6
38,39,Non-binary,82,5,5,5,5,NA
39,66,Male,79,3,5,3,5,4
40,29,Male,69,4,5,4,3,5
41,46,Male,100,5,5,5,5,5
42,18,Male,50,3,5,5,3,5
43,45,Male,83,6,4,5,5,4
44,26,Male,87,6,5,6,6,NA
45,71,Male,33,1,1,2,3,2
46,44,Male,NA,4,4,4,3,6
47,50,Male,74,5,3,3,5,3
48,66,Male,68,4,2,3,3,3
49,55,Male,79,4,4,4,4,3
50,20,Male,66,3,NA,4,4,4
