psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,51,Male,65,2,2,3,2,2
2,40,Male,NA,3,3,3,2,3
3,82,Male,79,5,5,6,4,6
4,32,Female,90,NA,4,4,5,6
5,51,Prefer not to say,67,6,5,4,4,5
6,52,Male,84,5,4,3,3,2
7,41,Female,73,3,4,4,5,3
8,46,Male,57,3,4,3,4,4
9,80,Prefer not to say,90,4,7,6,4,4
10,47,Male,72,5,5,3,NA,2
11,46,Male,71,3,3,NA,4,4
12,49,Female,69,5,3,3,4,4
13,51,Prefer not to say,85,3,3,2,4,4
14,47,Female,87,6,5,5,7,5
15,32,Male,82,5,5,3,5,6
16,27,Male,67,6,4,4,5,3
17,18,Male,53,4,4,3,2,4
18,38,Prefer not to say,63,6,3,4,2,3
19,35,Female,68,3,4,2,2,3
20,48,Male,90,3,4,3,3,NA
21,19,Male,85,5,7,5,6,7
22,23,Female,80,3,7,6,4,5
23,48,Female,76,NA,4,4,4,4
24,63,Male,53,3,2,4,3,4
25,47,Prefer not to say,67,4,4,4,4,4
26,39,Male,64,3,4,3,2,3
27,48,Male,74,5,NA,4,5,4
28,19,Male,75,5,4,5,4,5
29,31,Male,78,4,3,5,4,5
30,26,Female,94,5,7,6,6,5
31,23,Female,83,6,5,5,5,6
32,27,Non-binary,71,3,4,4,3,2
33,44,Male,66,4,4,4,3,6
34,53,Male,67,4,4,4,5,5
35,49,Female,87,6,5,6,NA,5
36,49,Male,60,4,1,NA,3,2
37,28,Female,76,5,4,4,5,5
38,48,Male,65,4,5,4,4,5
39,48,Female,52,2,3,2,2,3
40,59,Male,98,6,4,6,5,6
41,62,Male,74,6,5,4,3,4
42,47,Male,NA,3,4,3,3,4
43,61,Male,87,6,6,6,5,6
44,33,Male,83,4,5,5,3,4
45,62,Male,72,2,4,3,3,2
46,53,Male,68,5,5,4,5,5
47,35,Male,64,2,3,2,3,4
48,18,Female,71,3,NA,4,3,4
49,56,Male,100,7,7,7,7,NA
50,38,Male,78,5,4,5,4,5
