psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,31,Male,61,3,4,3,4,NA
2,19,Male,63,3,3,2,4,4
3,81,Female,89,4,4,4,5,4
4,47,Female,50,3,2,2,NA,1
5,62,Female,75,4,5,3,4,NA
6,50,Female,75,5,5,5,6,6
7,55,Female,48,4,4,2,4,3
8,45,Male,81,5,4,4,6,4
9,32,Male,70,6,4,4,5,5
10,51,Female,NA,5,NA,6,7,6
11,50,Female,80,6,7,5,6,7
12,46,Male,71,4,4,4,3,4
13,51,Female,75,4,3,4,4,4
14,45,Male,100,6,5,6,5,5
15,59,Female,58,4,4,4,3,5
16,21,Female,72,3,4,4,3,3
17,63,Prefer not to say,83,4,3,4,4,4
18,81,Male,67,4,3,2,3,5
19,46,Non-binary,88,2,5,5,4,3
20,21,Male,69,4,4,5,4,5
21,36,Female,68,5,4,4,3,3
22,32,Female,66,4,5,2,4,4
23,51,Female,73,4,3,4,4,2
24,67,Male,80,5,7,5,5,5
25,79,Male,50,4,4,3,4,4
26,65,Male,65,5,5,6,5,5
27,25,Male,63,4,NA,5,4,4
28,51,Male,53,2,3,3,3,2
29,36,Female,85,6,5,4,5,4
30,41,Female,76,4,5,3,3,5
31,50,Female,72,4,2,5,2,4
32,21,Female,65,5,7,6,4,4
33,44,Male,82,NA,5,4,4,5
34,35,Male,50,1,2,5,1,3
35,24,Female,74,2,4,3,5,4
36,52,Female,76,4,4,4,2,4
37,26,Male,77,4,2,4,3,4
38,47,Male,65,3,3,4,4,4
39,61,Female,66,3,2,1,1,2
40,56,Female,75,5,4,5,4,6
41,77,Male,73,6,4,6,5,4
42,20,Female,75,4,4,4,4,4
43,35,Female,75,5,4,5,NA,5
44,47,Non-binary,61,4,5,5,6,5
45,36,Male,97,4,5,5,4,4
46,74,Male,92,5,5,NA,5,4
47,53,Female,70,4,6,5,6,4
48,26,Female,81,NA,4,5,6,5
49,52,Male,67,4,4,NA,3,5
50,30,Female,NA,4,3,4,3,5
