psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,59,Male,67,3,4,3,4,NA
2,68,Non-binary,66,2,2,1,2,3
3,48,Female,100,7,6,6,7,6
4,46,Male,76,5,5,6,5,5
5,47,Female,73,5,5,NA,4,4
6,42,Female,66,4,3,4,3,4
7,64,Male,86,NA,4,5,4,4
8,54,Female,77,5,6,5,5,5
9,33,Female,43,2,1,3,3,4
10,33,Female,74,4,3,4,4,3
11,45,Female,92,4,3,6,5,4
12,44,Female,62,3,2,2,3,4
13,40,Female,70,5,6,5,5,5
14,61,Female,86,5,6,4,5,4
15,42,Male,84,7,5,5,4,5
16,37,Male,55,4,5,3,2,3
17,35,Male,61,4,1,3,4,NA
18,32,Female,74,5,4,5,NA,5
19,47,Male,70,5,5,3,3,3
20,59,Non-binary,77,4,NA,4,4,5
21,44,Male,67,3,4,5,4,2
22,38,Prefer not to say,74,4,3,2,5,4
23,47,Female,70,3,5,3,4,3
24,64,Male,88,5,5,4,4,5
25,56,Female,69,4,5,5,5,4
26,42,Female,61,2,3,3,4,2
27,35,Male,75,4,3,5,2,3
28,40,Female,66,3,2,2,3,3
29,51,Female,75,5,4,4,4,4
30,25,Female,76,NA,5,7,7,6
31,46,Female,59,1,3,2,2,3
32,42,Male,78,3,5,4,NA,3
33,38,Male,100,4,6,5,5,4
34,23,Female,75,5,4,4,4,4
35,42,Female,61,3,3,4,4,5
36,57,Female,60,5,4,5,5,6
37,78,Non-binary,64,4,3,5,4,3
38,21,Female,NA,4,NA,5,5,4
39,58,Female,71,4,5,6,4,5
40,40,Female,79,3,4,6,4,3
41,22,Male,68,3,4,5,5,4
42,40,Female,63,3,4,2,2,4
43,55,Male,71,3,5,4,4,5
44,21,Female,82,7,7,NA,6,5
45,47,Female,83,4,4,3,3,4
46,53,Prefer not to say,53,4,3,3,4,5
47,40,Male,NA,4,4,5,4,4
48,31,Female,93,5,5,5,5,6
49,48,Male,79,4,4,3,2,4
50,29,Male,86,6,5,5,4,6
