psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,27,Female,77,4,NA,4,4,3
2,46,Male,95,6,6,7,6,7
3,45,Male,81,4,3,3,5,4
4,47,Female,57,3,3,4,4,3
5,30,Male,57,2,1,2,3,3
6,49,Female,60,3,2,3,3,4
7,50,Male,55,4,NA,4,4,4
8,45,Female,75,4,2,3,3,3
9,50,Female,74,5,4,5,6,5
10,19,Prefer not to say,NA,5,3,4,2,3
11,20,Non-binary,59,NA,2,1,3,2
12,45,Female,74,6,4,5,NA,4
13,27,Male,76,4,5,3,3,3
14,33,Female,62,4,4,4,4,4
15,24,Male,77,4,4,6,6,4
16,67,Male,77,5,5,NA,4,NA
17,55,Male,61,4,3,4,3,3
18,45,Male,69,3,4,4,3,4
19,41,Prefer not to say,55,3,1,2,2,1
20,27,Male,52,4,3,5,3,4
21,18,Female,80,2,4,4,3,2
22,49,Male,80,3,3,3,2,5
23,41,Female,71,3,5,4,4,4
24,50,Female,74,3,6,5,NA,3
25,68,Female,87,6,5,5,5,3
26,31,Prefer not to say,84,4,4,4,6,4
27,46,Female,80,2,3,3,3,3
28,41,Female,78,4,5,5,4,4
29,45,Male,84,NA,3,2,1,2
30,23,Female,87,6,6,6,5,6
31,62,Male,93,6,6,5,7,5
32,56,Female,88,6,4,6,5,5
33,52,Male,54,2,1,3,2,3
34,53,Female,76,3,4,4,5,5
35,42,Non-binary,58,4,4,4,3,3
36,25,Female,66,5,3,5,4,5
37,28,Male,71,5,5,5,4,4
38,28,Male,57,4,2,3,2,3
39,53,Female,54,2,3,2,2,NA
40,40,Female,68,3,3,3,2,2
41,52,Female,NA,4,4,5,5,5
42,45,Female,65,5,5,3,3,3
43,40,Female,75,3,3,3,6,5
44,54,Male,74,2,3,3,3,2
45,19,Female,78,3,4,4,6,4
46,36,Female,77,5,3,5,6,4
47,34,Female,56,4,2,4,2,4
48,49,Female,81,5,5,NA,5,4
49,51,Female,76,4,5,3,4,4
50,40,Male,66,4,4,5,4,3
