psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,30,Male,77,5,5,6,NA,5
2,37,Male,43,1,1,1,1,1
3,40,Male,86,6,4,5,5,6
4,52,Female,72,2,3,3,2,3
5,25,Female,77,5,5,5,5,6
6,65,Male,70,5,4,3,3,5
7,34,Male,67,4,3,3,4,NA
8,41,Female,63,2,2,3,3,4
9,51,Male,86,6,NA,5,6,7
10,22,Male,78,3,4,3,4,3
11,21,Male,73,4,4,4,6,5
12,42,Male,65,2,4,3,4,4
13,25,Male,89,6,7,NA,5,4
14,32,Male,61,3,5,5,5,4
15,39,Male,NA,4,3,5,3,3
16,49,Female,67,3,4,3,5,5
17,33,Female,94,4,5,6,5,6
18,50,Male,72,4,4,4,4,4
19,32,Male,52,3,2,2,2,2
20,33,Female,68,5,3,3,5,4
21,24,Male,64,5,3,3,6,5
22,41,Female,76,5,5,5,3,5
23,55,Male,NA,4,6,5,4,6
24,40,Male,74,4,3,4,2,4
25,25,Male,71,3,3,2,3,3
26,50,Female,57,NA,3,3,3,2
27,56,Male,76,5,5,5,NA,4
28,20,Female,85,4,2,4,4,5
29,29,Male,97,7,7,6,7,5
30,37,Male,50,5,5,4,5,5
31,48,Female,72,5,3,3,5,4
32,29,Female,54,2,2,NA,2,4
33,46,Female,84,4,4,5,4,4
34,66,Female,66,3,3,3,4,3
35,50,Female,79,4,5,5,3,5
36,48,Non-binary,72,4,5,4,3,4
37,35,Male,80,3,5,4,6,4
38,28,Prefer not to say,65,4,3,2,4,5
39,56,Male,81,5,5,4,7,5
40,18,Female,90,5,4,3,4,5
41,51,Male,90,NA,4,5,4,3
42,70,Male,66,4,5,4,4,4
43,33,Female,84,3,4,4,5,3
44,38,Female,70,1,1,2,2,2
45,34,Female,83,5,6,5,5,5
46,48,Male,93,5,5,4,6,5
47,29,Male,69,3,5,5,4,4
48,22,Male,81,4,4,4,4,6
49,61,Non-binary,66,4,4,2,5,NA
50,73,Female,57,3,NA,5,6,2
