psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,42,Male,58,5,2,3,2,4
2,60,Male,72,5,4,4,4,4
3,52,Male,100,7,6,6,6,6
4,33,Male,64,4,3,4,3,5
5,21,Prefer not to say,76,4,4,NA,4,3
6,20,Female,67,5,5,4,5,4
7,20,Male,46,3,4,3,4,4
8,32,Male,76,5,4,4,5,6
9,47,Prefer not to say,59,4,3,5,5,5
10,33,Female,77,5,6,4,4,3
11,40,Female,78,4,3,3,3,4
12,44,Non-binary,NA,4,6,6,5,6
13,32,Female,63,4,3,3,4,4
14,75,Prefer not to say,88,5,5,6,3,4
15,44,Female,83,5,5,4,5,3
16,40,Female,78,3,3,4,4,NA
17,35,Non-binary,72,5,5,5,6,6
18,38,Female,64,5,5,5,5,3
19,49,Female,82,5,4,5,4,5
20,35,Male,71,4,4,3,NA,4
21,45,Female,59,5,6,5,5,5
22,54,Prefer not to say,70,5,4,3,4,4
23,46,Female,61,5,5,4,5,5
24,63,Female,70,6,6,6,7,7
25,62,Non-binary,67,3,3,4,4,3
26,37,Female,46,2,2,2,2,3
27,29,Male,83,3,6,5,7,4
28,54,Female,35,1,NA,2,1,2
29,46,Female,70,5,3,4,4,5
30,40,Female,86,4,4,4,4,3
31,45,Male,69,3,4,4,4,4
32,26,Male,79,NA,4,3,4,4
33,75,Female,78,3,4,2,3,4
34,54,Female,60,4,3,NA,5,4
35,31,Male,49,2,2,1,2,3
36,27,Female,72,3,NA,3,3,2
37,32,Non-binary,44,1,2,2,2,1
38,62,Male,75,4,4,3,3,3
39,50,Male,63,3,4,2,4,2
40,54,Female,62,3,1,2,2,3
41,18,Male,88,6,5,5,5,6
42,19,Female,74,NA,5,6,5,NA
43,48,Female,67,4,4,2,4,4
44,55,Male,74,4,6,5,5,3
45,58,Male,NA,3,5,4,6,4
46,47,Female,62,3,5,3,4,3
47,30,Female,74,3,3,4,NA,4
48,47,Female,85,5,4,4,5,4
49,54,Female,61,5,5,3,7,5
50,65,Male,71,4,4,4,5,4
