psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,46,Female,78,4,4,5,7,NA
2,46,Male,93,6,4,NA,6,6
3,46,Male,73,2,3,2,4,2
4,45,Female,86,6,4,6,5,5
5,50,Female,64,4,2,3,3,3
6,55,Female,62,6,6,5,6,5
7,56,Female,88,6,5,6,5,5
8,48,Male,53,3,3,4,2,5
9,44,Male,67,6,5,5,4,4
10,36,Male,76,4,4,4,4,4
11,67,Male,74,4,4,NA,NA,4
12,68,Female,50,3,3,4,2,3
13,37,Female,100,5,5,2,4,3
14,67,Male,85,5,4,3,4,4
15,49,Male,80,4,3,3,3,3
16,42,Non-binary,84,3,4,4,2,3
17,40,Female,78,5,6,5,5,5
18,54,Female,NA,4,4,5,6,4
19,63,Male,62,4,4,2,4,4
20,57,Male,81,4,6,3,5,5
21,36,Male,NA,4,5,4,3,4
22,48,Male,85,6,6,7,7,5
23,24,Male,76,5,4,4,NA,4
24,44,Male,95,7,NA,7,7,7
25,37,Male,87,2,3,5,4,5
26,54,Male,64,3,3,4,3,3
27,58,Female,68,4,5,4,4,3
28,56,Female,75,5,3,3,3,3
29,56,Male,72,3,6,5,5,4
30,21,Female,100,NA,5,7,7,7
31,19,Prefer not to say,63,4,4,3,5,5
32,50,Female,65,5,5,4,5,4
33,40,Female,78,4,5,6,4,4
34,41,Female,54,3,NA,2,1,3
35,41,Male,53,3,4,4,2,3
36,27,Male,58,1,1,1,1,1
37,25,Male,81,4,4,5,4,3
38,21,Female,88,7,6,5,7,5
39,51,Female,67,4,4,5,4,4
40,38,Female,54,3,2,3,1,3
41,34,Female,80,5,5,5,5,5
42,31,Male,61,2,3,2,4,1
43,36,Female,87,3,2,4,2,3
44,65,Female,69,4,3,4,3,5
45,62,Male,74,6,5,5,5,4
46,41,Male,52,1,2,1,1,3
47,38,Female,84,5,5,5,5,5
48,31,Male,76,5,6,6,5,NA
49,55,Male,73,NA,5,4,5,5
50,46,Male,68,4,5,5,3,3
