psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,31,Male,61,3,5,4,3,4
2,48,Male,52,3,1,1,2,3
3,50,Male,78,2,2,2,2,5
4,42,Male,63,3,3,3,3,4
5,37,Male,43,NA,2,2,3,3
6,50,Male,64,1,3,3,3,2
7,53,Male,76,3,5,6,5,4
8,37,Female,51,2,2,3,3,2
9,31,Female,91,4,5,5,6,6
10,64,Male,57,4,5,4,NA,4
11,56,Female,63,5,5,4,3,4
12,43,Non-binary,NA,2,2,3,2,2
13,30,Female,46,4,3,4,3,3
14,54,Female,82,2,4,3,3,3
15,35,Male,69,6,5,4,4,6
16,20,Female,94,3,5,3,5,4
17,65,Female,39,3,3,3,4,5
18,35,Female,60,NA,4,4,4,5
19,65,Female,81,5,4,6,4,7
20,49,Female,64,4,5,4,4,5
21,73,Female,75,3,5,6,4,3
22,59,Female,62,4,3,5,NA,4
23,31,Female,70,3,3,5,4,4
24,50,Female,84,4,5,NA,3,4
25,34,Male,73,4,3,5,4,3
26,40,Male,76,5,6,5,6,4
27,51,Male,80,3,3,4,5,3
28,22,Male,84,2,2,1,3,2
29,30,Prefer not to say,61,3,4,2,3,5
30,61,Female,77,4,4,3,3,4
31,53,Female,63,1,4,2,2,4
32,34,Female,82,5,6,7,5,5
33,62,Male,64,4,5,3,4,3
34,47,Male,100,5,NA,5,7,6
35,60,Prefer not to say,67,3,4,NA,1,3
36,52,Prefer not to say,78,3,4,4,5,4
37,56,Male,71,6,4,4,4,4
38,61,Non-binary,95,5,6,7,7,6
39,24,Female,87,4,5,3,4,5
40,52,Male,72,5,4,6,4,NA
41,53,Female,73,4,4,2,4,4
42,51,Female,NA,5,4,4,5,5
43,45,Female,85,6,NA,7,6,6
44,21,Male,72,5,4,5,5,5
45,34,Female,62,1,2,1,3,2
46,65,Male,83,5,4,4,4,NA
47,46,Female,60,5,5,4,7,5
48,59,Female,77,5,5,4,5,5
49,37,Female,76,2,4,3,2,4
50,19,Female,58,2,2,1,2,2
