psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,24,Female,NA,5,4,5,4,NA
2,36,Female,81,6,NA,7,7,4
3,60,Male,68,5,3,3,4,5
4,19,Female,58,4,2,3,2,2
5,33,Female,50,2,3,2,2,2
6,44,Female,71,3,3,2,3,5
7,24,Male,56,3,2,4,2,4
8,52,Female,70,4,4,4,4,3
9,58,Female,92,5,3,5,NA,4
10,56,Female,89,5,4,4,4,4
11,54,Male,68,4,3,4,4,4
12,64,Male,77,3,4,3,3,3
13,23,Female,51,2,2,2,3,2
14,39,Female,79,2,4,5,NA,3
15,50,Female,43,2,2,1,1,1
16,52,Male,80,5,4,5,3,3
17,58,Female,100,6,5,6,4,6
18,52,Male,81,4,2,4,7,NA
19,57,Male,66,2,3,2,3,3
20,34,Female,65,3,5,NA,6,4
21,63,Female,65,5,5,4,3,3
22,55,Male,98,4,5,5,4,5
23,62,Male,81,4,4,4,5,4
24,27,Non-binary,60,NA,3,3,3,4
25,21,Male,73,4,4,5,5,4
26,69,Male,87,5,4,4,4,4
27,50,Female,67,2,5,5,4,4
28,35,Non-binary,69,4,5,5,4,4
29,25,Male,78,4,3,5,5,4
30,49,Female,89,7,6,6,7,6
31,37,Female,58,3,2,3,2,1
32,57,Male,87,4,5,5,5,5
33,46,Female,71,4,3,4,4,4
34,65,Female,84,3,4,4,5,4
35,45,Female,NA,6,4,5,6,6
36,46,Male,77,2,4,4,3,3
37,40,Male,61,4,3,3,4,6
38,26,Female,87,3,3,3,3,4
39,48,Female,75,NA,4,3,4,4
40,56,Male,73,5,4,NA,4,5
41,37,Female,80,3,3,4,4,3
42,50,Female,84,4,5,4,4,4
43,26,Female,84,5,6,5,6,5
44,39,Male,72,6,5,4,5,5
45,36,Female,63,6,5,5,4,5
46,57,Female,54,5,4,6,5,6
47,61,Male,100,7,6,7,7,7
48,37,Male,86,4,NA,4,5,6
49,30,Male,74,3,3,3,2,4
50,57,Female,70,6,4,6,5,5
