psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,44,Male,68,3,2,3,3,2
2,57,Male,72,6,5,5,5,7
3,24,Non-binary,90,4,6,3,5,3
4,38,Female,57,4,3,2,3,5
5,23,Male,67,2,2,4,4,5
6,29,Male,74,5,4,5,4,5
7,43,Female,66,NA,3,3,2,3
8,27,Female,59,5,4,5,5,5
9,18,Male,60,2,NA,4,2,3
10,52,Female,80,5,5,4,5,6
11,19,Female,75,5,4,5,5,4
12,47,Male,71,4,4,5,6,4
13,41,Female,79,5,6,6,5,5
14,35,Male,70,3,4,5,4,4
15,43,Male,50,1,2,2,2,1
16,34,Female,92,4,4,3,4,5
17,45,Female,74,5,5,5,5,5
18,20,Male,74,1,2,2,2,3
19,40,Non-binary,93,6,6,6,4,7
20,44,Female,83,6,5,6,NA,5
21,31,Female,93,4,5,5,3,4
22,20,Female,95,7,6,5,6,6
23,36,Female,76,3,4,4,3,NA
24,32,Male,72,5,4,NA,5,4
25,35,Male,69,4,3,4,2,5
26,38,Male,66,4,4,5,4,3
27,48,Prefer not to say,81,6,5,4,5,5
28,31,Female,77,4,4,3,4,4
29,60,Prefer not to say,80,3,4,4,3,3
30,45,Male,75,4,5,4,5,4
31,49,Male,95,5,7,6,6,5
32,43,Male,71,4,5,5,5,4
33,32,Male,77,4,6,NA,4,5
34,47,Male,62,4,5,2,4,5
35,39,Female,65,3,NA,4,5,3
36,42,Female,100,5,5,4,4,6
37,23,Male,75,5,5,4,NA,3
38,60,Male,60,3,3,2,3,NA
39,47,Male,72,4,5,4,4,4
40,42,Female,NA,6,4,4,5,5
41,56,Female,49,2,2,1,1,1
42,41,Female,48,3,3,4,5,3
43,82,Female,81,3,5,5,3,4
44,64,Female,76,5,5,5,5,5
45,37,Female,71,3,4,3,4,3
46,44,Female,69,5,5,4,4,4
47,59,Male,NA,4,5,6,5,5
48,57,Male,91,5,5,5,6,6
49,48,Female,80,4,5,3,4,4
50,51,Male,78,NA,4,4,5,3
