psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Female,68,4,3,3,4,4
2,39,Female,47,2,1,3,2,2
3,21,Female,93,4,4,5,5,5
4,20,Male,65,5,3,4,3,3
5,20,Male,85,3,3,3,4,4
6,46,Female,83,4,4,3,4,3
7,23,Non-binary,64,5,3,4,NA,3
8,42,Male,83,5,4,NA,5,5
9,41,Male,NA,4,4,3,3,4
10,59,Male,79,4,5,5,4,4
11,39,Male,59,3,3,3,4,3
12,37,Female,66,4,3,4,4,3
13,20,Male,45,3,2,4,4,3
14,24,Non-binary,72,4,5,5,6,5
15,50,Male,90,5,6,5,6,7
16,27,Female,69,3,3,4,4,4
17,52,Male,56,6,3,3,5,3
18,27,Female,50,2,3,3,2,2
19,54,Prefer not to say,52,4,3,3,3,4
20,46,Prefer not to say,73,2,3,4,5,3
21,51,Female,37,1,1,2,1,1
22,43,Male,72,4,5,4,4,4
23,53,Male,82,5,4,3,4,4
24,56,Male,66,4,5,4,4,5
25,22,Male,66,NA,4,4,3,5
26,33,Female,75,2,3,2,3,4
27,31,Female,75,5,4,NA,6,5
28,30,Female,72,4,4,5,4,NA
29,42,Male,90,5,5,5,6,4
30,41,Male,53,4,3,3,3,2
31,19,Female,80,4,3,5,4,7
32,44,Female,73,NA,2,4,3,3
33,67,Male,90,5,4,6,5,5
34,47,Non-binary,79,5,3,4,3,4
35,37,Female,81,6,7,4,5,4
36,37,Male,75,6,4,5,5,6
37,29,Female,73,3,4,4,3,4
38,36,Female,72,4,NA,4,NA,NA
39,38,Male,71,1,1,3,3,4
40,59,Female,87,6,6,6,5,6
41,48,Male,59,2,3,3,2,2
42,43,Female,63,3,2,3,3,2
43,37,Female,72,4,4,3,2,3
44,43,Female,70,5,5,4,5,4
45,38,Male,78,5,5,4,5,5
46,25,Female,100,7,5,6,5,5
47,42,Male,65,2,3,3,3,3
48,56,Male,71,3,NA,3,5,3
49,20,Male,NA,4,3,3,3,3
50,33,Female,63,5,6,5,5,4
