psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,34,Male,84,4,4,6,4,5
2,38,Male,75,4,5,3,5,5
3,53,Male,39,2,2,3,3,2
4,37,Female,94,4,6,5,5,6
5,59,Male,85,6,4,NA,6,6
6,28,Female,74,3,5,3,3,3
7,34,Non-binary,64,6,5,6,5,4
8,21,Female,55,NA,2,3,1,2
9,43,Male,49,1,1,2,1,3
10,39,Male,62,5,4,4,5,3
11,61,Male,75,3,3,3,1,4
12,37,Female,66,4,2,3,3,3
13,18,Prefer not to say,70,4,5,3,2,5
14,64,Male,82,5,5,4,6,5
15,40,Female,78,3,NA,3,4,3
16,48,Male,100,3,2,3,4,3
17,51,Male,69,4,2,4,3,3
18,30,Female,74,4,5,3,4,6
19,57,Male,78,7,6,5,5,6
20,40,Male,65,3,4,2,NA,2
21,33,Male,NA,2,3,4,5,1
22,25,Female,85,NA,5,7,6,7
23,40,Female,89,5,5,7,5,6
24,56,Male,64,2,4,4,4,4
25,54,Non-binary,65,4,4,2,3,4
26,48,Female,73,4,NA,5,5,4
27,54,Female,89,5,4,6,5,6
28,40,Male,89,5,5,3,6,4
29,34,Female,56,1,3,2,1,2
30,20,Male,55,4,5,4,4,NA
31,62,Male,67,4,4,5,3,NA
32,39,Female,62,3,1,1,1,1
33,52,Male,85,5,5,3,4,5
34,21,Female,83,5,5,6,4,6
35,40,Female,71,6,5,4,4,5
36,34,Female,71,5,4,4,5,3
37,21,Female,74,6,5,5,6,5
38,53,Female,48,1,3,3,1,3
39,30,Male,72,4,4,3,4,3
40,20,Female,99,6,6,5,6,6
41,49,Male,63,3,5,5,4,5
42,32,Female,58,4,3,NA,4,3
43,31,Prefer not to say,84,5,5,6,5,6
44,44,Male,88,5,6,6,4,6
45,54,Male,76,4,4,3,4,5
46,32,Female,82,5,5,4,6,5
47,68,Female,91,6,5,7,5,5
48,56,Female,66,3,3,4,NA,3
49,18,Male,75,4,6,5,6,6
50,52,Male,NA,4,6,4,4,4
