psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,26,Prefer not to say,85,4,5,4,5,5
2,41,Female,94,5,5,5,6,4
3,34,Male,74,4,3,5,4,4
4,32,Female,74,6,5,6,5,5
5,50,Female,79,4,4,6,6,5
6,20,Female,81,3,5,5,4,6
7,44,Male,73,4,3,5,5,5
8,55,Female,71,4,NA,4,5,4
9,36,Male,81,3,4,5,3,4
10,41,Female,71,3,3,4,4,3
11,46,Male,70,4,3,5,4,2
12,62,Female,81,5,6,4,5,6
13,24,Male,64,3,3,3,4,4
14,43,Male,67,4,3,5,5,4
15,41,Female,58,4,4,3,3,3
16,29,Female,81,5,4,5,5,4
17,72,Male,83,5,5,5,6,4
18,46,Female,85,7,7,6,5,4
19,20,Male,80,3,3,3,5,4
20,48,Female,66,3,5,5,3,4
21,46,Male,74,2,3,3,4,3
22,30,Male,70,NA,NA,NA,3,NA
23,33,Male,89,4,4,6,3,5
24,43,Female,80,6,3,4,5,5
25,19,Prefer not to say,78,5,3,3,4,4
26,30,Male,64,4,4,3,3,4
27,36,Female,52,4,4,4,3,3
28,29,Non-binary,71,4,3,NA,3,3
29,64,Female,93,4,4,4,5,NA
30,53,Male,52,2,2,3,3,2
31,75,Male,88,NA,5,5,4,4
32,32,Female,69,2,4,3,4,2
33,20,Male,50,3,2,2,3,1
34,42,Female,78,3,4,5,NA,5
35,49,Female,82,4,4,4,6,5
36,28,Male,65,2,2,3,2,3
37,42,Prefer not to say,73,5,4,2,5,4
38,28,Female,50,1,1,1,1,2
39,34,Male,74,5,4,5,3,4
40,50,Female,67,3,4,5,4,4
41,53,Male,NA,5,4,5,6,5
42,53,Female,96,6,7,6,4,5
43,42,Female,65,4,5,3,4,2
44,44,Female,84,2,3,5,2,3
45,43,Male,78,4,4,4,3,4
46,49,Male,62,2,3,5,NA,3
47,24,Male,NA,3,3,4,4,5
48,51,Non-binary,64,2,3,3,3,3
49,63,Male,53,4,4,4,4,3
50,27,Non-binary,97,3,5,5,4,4
