psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,57,Female,86,5,5,7,6,6
2,59,Prefer not to say,59,5,6,4,4,4
3,18,Female,55,3,NA,4,3,4
4,42,Prefer not to say,75,4,5,5,3,5
5,19,Female,95,3,3,4,4,4
6,30,Male,85,5,4,NA,4,4
7,38,Prefer not to say,71,5,4,6,NA,4
8,39,Male,79,5,6,5,6,4
9,45,Female,60,3,3,2,3,4
10,27,Male,76,NA,3,4,5,4
11,47,Male,66,3,3,3,2,3
12,34,Male,71,4,5,3,3,5
13,56,Female,76,3,4,2,4,4
14,33,Female,91,6,3,5,4,6
15,40,Female,61,4,4,3,3,2
16,36,Male,60,2,1,2,2,3
17,53,Male,55,4,3,4,5,5
18,58,Male,59,NA,3,2,3,3
19,80,Male,73,5,4,4,3,4
20,19,Female,81,2,3,3,NA,3
21,61,Female,70,2,3,NA,3,4
22,59,Male,98,6,5,6,4,4
23,38,Female,60,3,4,3,2,3
24,19,Male,86,6,5,5,5,6
25,59,Female,74,4,3,3,3,4
26,58,Female,50,2,2,2,4,2
27,44,Female,75,6,6,6,5,6
28,20,Male,NA,4,5,5,5,4
29,36,Female,80,4,5,5,5,4
30,19,Female,78,7,6,7,6,7
31,57,Male,75,4,5,4,5,4
32,41,Female,75,4,3,4,5,3
33,34,Prefer not to say,75,4,4,3,6,4
34,18,Prefer not to say,87,3,4,4,2,NA
35,39,Male,90,5,4,3,3,2
36,51,Female,93,6,6,6,6,6
37,32,Female,64,4,5,3,5,4
38,50,Male,56,4,5,4,4,5
39,41,Non-binary,87,5,3,5,4,4
40,56,Non-binary,86,6,4,6,6,NA
41,50,Female,96,6,6,5,7,5
42,33,Female,70,5,5,4,4,4
43,34,Female,52,2,1,2,2,1
44,26,Male,60,4,3,6,4,3
45,36,Female,NA,7,NA,6,5,4
46,18,Male,96,6,6,6,7,5
47,21,Male,75,5,5,4,5,5
48,55,Female,91,4,4,4,4,4
49,53,Male,68,3,4,2,3,4
50,44,Female,65,4,3,4,6,3
