psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,38,Female,88,2,3,4,NA,5
2,46,Male,76,5,5,4,6,6
3,25,Male,56,2,5,3,3,3
4,55,Female,65,5,3,3,4,4
5,55,Male,89,7,5,NA,4,6
6,37,Female,55,3,4,4,5,4
7,44,Female,60,3,NA,1,1,4
8,43,Female,83,4,6,5,5,4
9,27,Female,87,5,7,4,4,5
10,47,Female,61,2,3,2,2,3
11,24,Female,81,4,3,3,3,3
12,36,Male,87,5,5,4,7,6
13,32,Female,49,3,3,3,4,5
14,54,Female,78,4,4,3,4,4
15,52,Female,69,3,4,4,1,4
16,33,Male,70,5,5,5,4,5
17,51,Female,78,4,4,5,4,5
18,57,Female,75,4,5,5,4,4
19,28,Female,78,6,4,5,4,4
20,36,Male,74,5,3,4,4,3
21,62,Male,80,3,5,4,5,5
22,30,Male,81,5,4,4,5,NA
23,61,Male,NA,4,3,2,4,2
24,49,Male,66,5,4,3,2,1
25,45,Female,84,5,4,6,3,3
26,57,Female,77,5,NA,4,5,4
27,36,Male,94,6,4,4,7,5
28,32,Male,57,3,3,2,2,2
29,26,Male,49,4,2,NA,3,2
30,52,Male,46,2,4,4,4,3
31,37,Prefer not to say,82,4,3,3,5,NA
32,40,Female,70,4,4,3,3,4
33,64,Non-binary,69,4,2,3,4,3
34,65,Prefer not to say,65,2,3,4,2,1
35,21,Male,90,6,5,6,4,5
36,37,Prefer not to say,85,5,6,5,6,6
37,35,Female,55,2,3,3,3,4
38,51,Male,83,NA,5,4,4,4
39,20,Prefer not to say,53,3,1,3,3,1
40,81,Female,64,3,2,3,2,4
41,25,Female,98,5,6,5,6,6
42,78,Female,83,6,5,6,7,5
43,53,Male,72,4,4,3,NA,3
44,20,Female,76,4,3,4,1,4
45,58,Female,93,4,4,4,5,3
46,33,Female,94,5,4,6,5,5
47,42,Male,100,6,6,6,6,6
48,50,Female,64,NA,4,3,4,3
49,56,Female,77,5,4,5,4,4
50,61,Female,NA,4,5,5,6,5
