psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,31,Female,56,1,2,3,3,NA
2,37,Male,67,5,4,4,4,5
3,43,Female,66,4,4,4,3,3
4,20,Female,59,3,4,4,2,3
5,40,Prefer not to say,75,2,4,4,2,2
6,42,Male,55,2,2,1,2,3
7,29,Female,74,4,2,4,4,2
8,40,Prefer not to say,75,6,6,5,6,7
9,35,Male,50,NA,3,3,3,4
10,39,Female,62,2,3,4,5,4
11,41,Female,83,3,4,6,5,5
12,38,Female,86,5,4,4,4,4
13,45,Male,70,5,4,5,5,6
14,18,Female,84,5,5,6,6,4
15,27,Female,75,4,4,5,3,4
16,39,Male,61,5,5,NA,5,4
17,33,Female,72,2,3,4,3,2
18,22,Male,NA,5,4,4,5,4
19,29,Non-binary,69,5,4,4,2,5
20,61,Male,NA,5,4,3,4,5
21,53,Male,72,3,NA,4,4,3
22,37,Non-binary,83,3,5,5,4,4
23,35,Male,40,4,4,3,5,4
24,56,Female,56,4,4,4,4,2
25,30,Male,81,4,3,4,4,2
26,28,Female,62,2,3,2,2,1
27,53,Male,65,4,3,2,4,3
28,62,Male,47,1,2,2,2,3
29,30,Male,89,6,6,7,6,6
30,29,Male,73,4,2,3,3,3
31,27,Female,39,3,3,NA,4,4
32,38,Female,84,4,NA,4,5,4
33,32,Female,84,3,3,4,4,4
34,43,Female,100,6,6,6,5,6
35,71,Male,81,4,5,3,3,4
36,30,Female,63,4,5,5,5,5
37,21,Female,59,4,4,3,3,3
38,26,Prefer not to say,89,NA,6,6,NA,5
39,21,Female,83,4,3,3,3,NA
40,51,Male,60,6,5,5,4,4
41,57,Male,58,2,4,3,3,2
42,42,Male,72,4,4,5,3,5
43,40,Female,96,3,4,3,5,5
44,28,Prefer not to say,80,7,5,6,6,5
45,21,Non-binary,83,4,6,4,4,5
46,37,Male,76,4,3,4,5,4
47,21,Female,74,3,3,6,4,3
48,58,Female,78,5,4,5,NA,7
49,24,Female,86,4,3,2,2,3
50,51,Female,98,5,5,3,3,4
