psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,53,Male,79,6,6,6,4,4
2,21,Male,98,4,5,NA,5,5
3,45,Non-binary,73,5,5,5,6,5
4,34,Female,42,1,1,2,1,1
5,31,Male,59,4,5,3,4,4
6,64,Female,69,4,4,4,5,4
7,40,Male,66,1,2,2,1,2
8,56,Male,57,3,5,4,4,3
9,35,Male,NA,3,3,3,3,3
10,46,Male,80,6,3,4,5,3
11,39,Female,93,5,4,4,6,6
12,43,Male,77,6,6,5,5,5
13,49,Female,66,2,5,3,2,4
14,38,Male,85,5,5,4,4,3
15,36,Male,72,3,4,3,3,2
16,41,Female,63,4,2,3,3,3
17,42,Male,86,5,NA,5,5,5
18,62,Male,74,2,3,3,5,3
19,36,Prefer not to say,74,5,4,5,4,4
20,45,Female,81,4,5,4,5,5
21,45,Female,67,2,2,3,4,2
22,22,Male,63,5,4,4,3,3
23,31,Male,70,3,4,4,2,5
24,22,Female,59,5,5,5,NA,5
25,46,Female,75,4,4,4,3,4
26,34,Female,60,5,5,4,5,5
27,35,Male,52,2,2,1,3,3
28,56,Female,37,4,4,3,4,NA
29,36,Male,76,5,5,5,5,4
30,39,Female,62,NA,3,3,2,2
31,51,Male,89,4,3,NA,4,4
32,41,Male,61,4,2,4,2,3
33,36,Female,92,6,6,5,6,3
34,41,Male,98,6,6,7,4,5
35,58,Male,82,6,5,4,4,NA
36,27,Female,88,5,4,5,5,3
37,65,Female,84,5,3,6,5,5
38,51,Male,74,2,1,3,2,3
39,29,Male,68,2,4,4,2,2
40,31,Female,63,2,NA,4,3,3
41,42,Female,70,NA,4,4,5,6
42,29,Female,66,2,2,3,3,2
43,56,Male,NA,6,6,5,5,5
44,51,Male,76,3,4,3,3,3
45,19,Female,78,7,4,4,NA,4
46,33,Female,80,4,6,5,4,5
47,19,Male,73,5,4,4,5,5
48,22,Male,75,2,2,2,2,3
49,56,Female,59,4,5,4,5,5
50,50,Female,64,3,3,3,2,3
