psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,25,Female,61,2,4,3,4,2
2,42,Male,83,6,3,5,5,4
3,58,Prefer not to say,NA,2,2,3,4,4
4,35,Male,67,2,3,3,3,3
5,67,Non-binary,68,4,4,3,2,2
6,70,Male,68,3,4,4,3,3
7,33,Male,67,4,4,4,3,3
8,60,Female,77,5,2,3,6,4
9,41,Female,95,5,5,NA,5,5
10,52,Female,69,NA,4,4,5,4
11,51,Female,93,3,4,3,5,5
12,45,Male,89,4,4,6,5,5
13,62,Male,66,4,4,3,2,3
14,55,Female,62,4,5,4,5,5
15,44,Male,66,4,5,5,4,4
16,40,Male,68,4,4,3,5,3
17,50,Female,79,6,5,4,3,5
18,73,Male,80,6,5,4,5,5
19,26,Female,79,5,6,4,7,4
20,59,Male,71,4,5,3,4,4
21,42,Male,62,4,5,5,4,3
22,67,Male,62,5,2,3,2,3
23,78,Female,64,5,5,3,5,NA
24,45,Female,62,7,5,5,7,5
25,39,Male,74,4,3,4,5,4
26,21,Female,80,4,4,5,NA,4
27,66,Female,77,6,5,5,NA,NA
28,43,Female,64,4,5,3,4,4
29,21,Male,75,5,6,4,5,5
30,43,Female,78,4,4,3,2,4
31,44,Male,63,3,4,3,2,3
32,65,Female,74,4,5,5,5,4
33,36,Female,74,7,7,6,7,7
34,36,Female,86,6,4,5,5,6
35,50,Female,70,4,5,4,4,2
36,24,Male,70,4,3,3,5,4
37,45,Female,65,2,3,3,4,2
38,54,Female,53,3,NA,4,4,4
39,18,Male,57,2,1,1,4,1
40,37,Male,64,5,5,6,5,3
41,41,Female,60,5,4,4,5,5
42,48,Prefer not to say,93,6,6,7,4,7
43,41,Male,NA,3,2,3,2,5
44,22,Male,84,5,3,NA,4,3
45,25,Male,79,NA,4,3,4,4
46,55,Male,80,4,4,5,5,5
47,40,Female,55,3,3,4,4,3
48,33,Female,55,3,3,3,3,4
49,40,Male,86,5,3,6,6,5
50,28,Non-binary,86,4,NA,4,4,4
