psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,51,Female,58,3,NA,3,3,5
2,18,Female,52,NA,3,3,4,3
3,52,Female,99,5,6,7,6,5
4,34,Female,54,4,3,4,3,3
5,22,Non-binary,65,3,4,4,3,3
6,62,Prefer not to say,87,4,5,5,3,5
7,29,Male,65,4,3,4,5,4
8,39,Female,72,NA,3,3,2,2
9,44,Female,57,4,4,4,5,5
10,39,Male,97,6,5,5,5,6
11,60,Male,61,5,4,4,4,4
12,31,Male,38,3,1,3,3,3
13,60,Male,64,5,3,4,4,2
14,59,Female,78,5,5,5,5,5
15,57,Female,86,4,3,4,3,4
16,53,Female,73,5,3,2,5,4
17,33,Female,52,1,2,3,2,3
18,40,Male,60,1,2,2,1,3
19,27,Female,74,3,4,NA,4,3
20,49,Male,59,3,4,4,3,3
21,72,Non-binary,79,5,5,4,3,5
22,46,Male,62,5,4,4,3,3
23,24,Male,63,4,4,4,5,4
24,20,Female,92,6,5,5,5,5
25,24,Non-binary,62,4,4,4,4,4
26,61,Male,45,2,2,2,3,2
27,18,Male,84,5,4,NA,4,4
28,21,Female,69,5,4,4,3,3
29,28,Female,100,6,6,5,6,5
30,31,Female,65,3,NA,4,3,2
31,25,Female,82,4,4,4,5,5
32,54,Female,NA,4,3,3,5,NA
33,50,Male,97,7,7,7,6,7
34,49,Female,86,6,4,4,4,5
35,60,Female,58,4,3,3,4,5
36,21,Female,65,3,5,4,4,3
37,30,Male,72,4,4,6,7,6
38,20,Female,67,3,3,3,NA,3
39,38,Male,68,2,5,3,5,5
40,27,Male,84,3,4,5,4,5
41,34,Male,91,6,6,6,6,NA
42,36,Female,NA,6,4,5,4,5
43,38,Non-binary,34,1,2,2,2,1
44,48,Male,63,3,4,3,4,2
45,53,Male,57,2,3,3,NA,3
46,20,Female,68,3,4,4,4,3
47,36,Male,61,3,2,3,3,3
48,32,Female,90,5,6,4,5,6
49,42,Male,75,5,4,4,5,3
50,32,Male,74,2,3,3,3,3
