psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,32,Female,68,4,2,3,4,3
2,43,Female,92,7,6,6,6,6
3,29,Female,51,2,2,3,2,2
4,39,Male,45,2,1,2,1,1
5,64,Male,90,5,4,3,2,3
6,40,Prefer not to say,74,4,2,4,5,3
7,65,Female,66,3,3,2,1,NA
8,47,Male,81,3,4,5,4,4
9,38,Prefer not to say,66,4,4,5,4,4
10,18,Female,82,NA,NA,7,6,5
11,53,Prefer not to say,59,4,3,5,1,4
12,66,Non-binary,66,4,5,4,3,5
13,35,Male,67,3,2,1,4,3
14,22,Male,75,5,7,5,6,7
15,30,Male,55,2,NA,2,2,3
16,31,Female,79,5,4,6,7,5
17,19,Female,79,4,5,4,NA,4
18,38,Female,83,4,4,4,5,5
19,20,Male,68,3,4,4,4,3
20,53,Male,82,NA,4,4,3,4
21,56,Non-binary,47,4,3,4,2,3
22,37,Male,77,5,3,4,4,6
23,49,Female,66,4,4,4,NA,4
24,32,Female,87,4,6,7,4,3
25,64,Female,80,4,5,5,5,3
26,62,Female,100,7,7,6,6,6
27,58,Prefer not to say,73,3,2,3,3,3
28,34,Female,45,3,3,NA,3,2
29,50,Female,61,4,3,4,5,4
30,43,Male,79,5,6,6,5,5
31,51,Non-binary,77,2,4,3,4,3
32,41,Female,57,2,2,4,3,3
33,18,Female,100,6,7,6,6,5
34,38,Male,72,4,4,3,5,3
35,57,Male,84,6,6,5,5,5
36,64,Female,62,4,3,NA,2,5
37,45,Male,76,5,5,4,5,4
38,47,Male,NA,3,4,4,4,3
39,69,Female,76,4,3,4,3,4
40,36,Female,55,3,3,3,2,NA
41,60,Female,100,6,5,7,5,6
42,45,Female,71,3,5,4,5,5
43,70,Male,70,3,4,3,3,4
44,23,Female,65,4,4,4,5,4
45,66,Female,64,5,2,5,4,3
46,32,Prefer not to say,NA,5,6,3,5,5
47,39,Male,73,4,3,4,5,4
48,24,Male,61,6,4,5,5,5
49,40,Female,86,6,4,4,5,5
50,44,Female,64,5,6,5,6,6
