psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,32,Male,94,NA,5,5,6,5
2,51,Prefer not to say,55,3,3,2,4,3
3,40,Non-binary,73,3,2,4,4,3
4,23,Female,71,4,5,4,6,7
5,24,Female,61,NA,2,2,2,4
6,20,Female,80,4,3,4,2,3
7,41,Female,96,6,7,6,7,6
8,39,Male,67,3,4,3,2,4
9,53,Female,94,5,6,6,NA,4
10,58,Male,91,7,6,5,6,NA
11,44,Female,43,2,2,1,1,2
12,33,Female,NA,3,4,3,4,4
13,18,Male,65,3,4,4,4,3
14,59,Female,79,3,5,4,3,4
15,56,Female,58,3,3,3,NA,4
16,31,Male,88,4,3,4,4,4
17,18,Female,80,6,5,4,5,5
18,54,Female,79,5,5,3,4,4
19,30,Non-binary,72,3,2,4,5,4
20,33,Female,83,5,4,6,5,5
21,19,Non-binary,62,3,1,1,2,1
22,44,Female,64,4,3,4,3,4
23,44,Male,64,2,2,1,3,2
24,29,Male,72,4,3,2,1,3
25,70,Female,87,5,5,5,4,5
26,51,Male,NA,4,5,5,4,5
27,37,Female,88,4,5,6,4,5
28,42,Female,67,1,1,2,2,2
29,78,Female,64,5,4,5,3,5
30,21,Female,67,3,6,4,5,5
31,27,Female,92,6,5,5,3,5
32,50,Female,59,5,4,3,3,4
33,31,Male,79,5,NA,5,4,4
34,40,Male,72,5,5,4,4,4
35,31,Prefer not to say,78,5,4,4,5,3
36,37,Male,55,1,2,NA,1,2
37,35,Male,75,3,5,5,6,5
38,61,Female,75,4,2,2,2,2
39,41,Male,89,5,6,6,4,4
40,62,Male,77,5,6,5,5,4
41,33,Non-binary,82,3,NA,4,5,1
42,44,Female,72,4,6,3,3,4
43,46,Male,55,4,4,3,4,4
44,38,Female,70,4,4,5,4,4
45,31,Female,97,5,6,NA,7,7
46,25,Female,80,1,4,3,4,NA
47,59,Female,67,5,3,3,3,5
48,61,Female,61,2,2,3,3,2
49,24,Male,86,4,4,3,4,3
50,33,Female,69,3,3,2,5,3
