psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,60,Male,57,4,3,4,4,3
2,67,Female,81,4,NA,7,6,5
3,29,Female,71,5,5,4,4,6
4,18,Female,53,3,4,3,3,4
5,41,Female,74,3,2,4,3,3
6,45,Male,71,3,6,4,3,3
7,59,Male,75,4,5,NA,NA,5
8,37,Female,85,5,5,5,5,5
9,37,Female,65,2,1,3,2,1
10,40,Female,75,NA,3,4,3,NA
11,40,Male,55,2,1,1,3,2
12,50,Female,58,3,3,1,2,4
13,37,Male,62,2,3,4,5,6
14,45,Male,65,4,3,4,4,6
15,37,Male,79,6,5,5,7,NA
16,53,Male,85,6,5,5,4,6
17,72,Prefer not to say,73,5,4,4,3,5
18,41,Female,57,NA,4,5,4,2
19,19,Female,67,3,3,NA,2,4
20,36,Non-binary,70,5,NA,4,4,4
21,31,Non-binary,65,3,4,2,3,2
22,47,Male,84,3,5,4,3,5
23,52,Female,54,4,2,2,2,3
24,47,Male,68,6,3,4,3,4
25,43,Prefer not to say,NA,3,2,4,2,2
26,37,Male,84,4,4,3,4,3
27,48,Female,99,5,5,4,4,6
28,27,Male,66,5,4,4,4,3
29,35,Male,67,5,5,5,5,5
30,37,Female,52,1,2,2,1,1
31,28,Male,69,3,3,2,2,2
32,58,Female,74,4,7,5,5,4
33,60,Male,NA,4,4,5,6,5
34,26,Female,52,3,4,2,3,3
35,52,Female,43,2,1,2,2,1
36,29,Male,77,5,5,5,4,4
37,60,Female,56,1,3,2,3,3
38,51,Female,63,4,5,6,5,6
39,40,Female,46,2,4,4,4,5
40,48,Female,74,4,5,5,4,7
41,56,Male,79,5,5,6,5,4
42,45,Female,52,5,3,3,3,2
43,59,Male,86,7,7,7,7,7
44,34,Male,80,4,5,5,5,6
45,34,Male,85,5,4,5,7,5
46,23,Male,72,6,4,5,5,5
47,18,Female,70,5,4,3,3,5
48,54,Prefer not to say,83,5,3,2,NA,2
49,43,Female,58,3,3,5,4,3
50,49,Female,93,6,4,5,5,5
