psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Female,55,3,3,4,1,5
2,51,Female,53,3,2,2,1,3
3,23,Male,60,3,2,3,5,4
4,57,Female,79,5,4,4,5,3
5,55,Female,48,NA,2,1,2,1
6,26,Male,80,7,7,7,NA,7
7,58,Female,100,6,6,6,6,6
8,57,Female,85,4,3,3,2,4
9,21,Male,98,3,5,5,4,NA
10,21,Male,81,5,4,6,6,3
11,27,Male,65,3,3,4,4,3
12,46,Male,80,4,3,4,4,5
13,47,Male,NA,4,5,4,4,4
14,59,Female,85,4,4,3,2,5
15,42,Male,85,3,4,3,4,4
16,56,Male,77,5,6,6,5,NA
17,20,Male,81,4,6,7,7,7
18,57,Male,66,4,4,NA,4,3
19,18,Female,61,3,4,2,1,2
20,24,Female,64,4,3,3,4,3
21,45,Female,84,NA,6,6,6,5
22,18,Male,69,5,NA,6,5,4
23,43,Male,90,7,6,6,6,6
24,20,Female,68,5,3,NA,4,5
25,52,Female,91,5,6,5,3,5
26,49,Female,82,6,5,5,5,5
27,21,Female,58,2,3,3,3,2
28,21,Male,50,3,4,3,2,4
29,51,Male,79,5,2,3,2,3
30,42,Female,NA,3,3,3,4,3
31,51,Female,85,4,6,5,4,5
32,29,Male,99,7,7,5,6,7
33,44,Male,89,7,6,6,NA,5
34,48,Female,63,4,3,4,2,2
35,53,Male,60,5,5,5,3,4
36,46,Female,57,2,1,2,1,3
37,52,Female,84,6,5,6,5,6
38,43,Male,56,4,4,3,3,6
39,43,Female,76,4,5,5,4,6
40,39,Female,70,3,3,2,3,3
41,26,Prefer not to say,67,3,NA,3,3,4
42,72,Female,98,5,5,4,6,6
43,53,Female,80,2,3,4,2,4
44,47,Male,86,4,4,5,5,3
45,30,Male,65,5,5,4,4,4
46,40,Prefer not to say,66,4,4,4,2,4
47,59,Male,87,3,3,5,3,4
48,35,Female,87,3,3,4,4,5
49,62,Female,59,4,3,4,5,5
50,37,Male,100,6,7,6,6,6
