psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,46,Female,85,4,5,6,4,5
2,70,Female,84,5,4,3,5,4
3,54,Female,63,3,5,3,4,4
4,62,Male,70,2,3,3,5,4
5,23,Male,82,3,4,3,3,4
6,57,Female,99,6,6,6,5,5
7,31,Male,48,2,1,3,3,2
8,48,Male,58,3,3,2,3,3
9,33,Female,81,5,3,5,5,NA
10,48,Male,79,6,6,6,7,5
11,73,Male,53,2,3,2,2,3
12,38,Male,79,4,6,4,4,5
13,40,Male,NA,3,4,NA,4,4
14,40,Male,56,4,5,4,NA,5
15,56,Non-binary,88,7,6,4,4,4
16,48,Female,100,5,6,5,3,4
17,36,Male,56,4,3,3,2,2
18,31,Female,82,4,4,4,5,6
19,52,Male,65,4,2,3,2,4
20,54,Female,58,4,2,4,NA,2
21,48,Female,61,2,3,3,3,3
22,54,Male,60,2,NA,1,1,1
23,47,Male,70,6,6,5,5,5
24,29,Female,50,5,4,5,4,4
25,25,Male,69,3,3,4,4,2
26,43,Non-binary,56,4,5,4,4,5
27,44,Male,68,4,3,3,2,NA
28,52,Male,71,4,4,6,4,4
29,38,Non-binary,64,4,NA,3,3,3
30,43,Prefer not to say,97,6,6,7,5,6
31,55,Prefer not to say,72,3,3,3,3,4
32,52,Female,62,2,5,3,3,3
33,26,Male,78,5,5,4,3,4
34,38,Male,59,3,2,3,3,2
35,22,Male,77,6,5,6,5,4
36,52,Female,72,3,4,4,2,6
37,30,Female,75,3,4,3,4,4
38,20,Male,53,NA,4,3,5,3
39,49,Female,83,3,3,4,3,6
40,67,Female,77,5,3,3,2,4
41,19,Female,NA,3,3,4,4,3
42,43,Female,55,4,4,5,4,4
43,54,Prefer not to say,76,NA,5,4,5,4
44,56,Female,73,3,3,3,5,3
45,57,Male,66,6,3,3,5,4
46,31,Female,72,2,2,NA,2,1
47,21,Male,75,5,4,5,4,3
48,48,Male,51,3,2,4,4,4
49,57,Male,49,3,2,3,2,2
50,31,Female,70,3,3,3,5,3
