psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,23,Male,100,6,5,6,5,4
2,68,Prefer not to say,64,4,5,4,4,4
3,59,Prefer not to say,72,5,3,4,NA,4
4,48,Female,70,6,5,5,3,4
5,40,Female,67,5,4,5,5,4
6,34,Female,51,3,3,1,3,2
7,59,Female,64,6,6,7,5,4
8,38,Male,78,5,4,5,6,6
9,21,Male,91,5,7,6,4,5
10,33,Male,75,5,4,7,6,6
11,40,Prefer not to say,68,3,4,2,4,3
12,48,Female,62,5,4,5,5,4
13,38,Female,70,3,3,4,3,2
14,28,Male,85,2,3,4,3,4
15,62,Female,73,4,4,4,5,4
16,36,Female,45,3,3,1,3,3
17,55,Female,89,5,5,5,5,6
18,30,Female,94,5,4,6,3,4
19,38,Male,82,6,6,5,5,7
20,64,Male,50,1,2,3,2,1
21,37,Male,85,4,6,6,6,4
22,55,Female,82,NA,4,5,5,4
23,52,Female,76,3,4,5,4,NA
24,25,Male,74,2,3,2,5,4
25,42,Male,72,2,4,3,3,3
26,54,Female,100,5,5,5,6,5
27,67,Male,88,5,6,5,4,5
28,47,Male,79,4,4,3,4,3
29,18,Male,87,6,5,4,3,5
30,46,Male,89,4,4,4,5,4
31,38,Female,67,5,4,4,5,3
32,56,Male,79,4,6,4,4,5
33,30,Non-binary,72,6,6,NA,5,4
34,55,Female,62,3,NA,3,NA,3
35,35,Female,NA,6,4,5,4,4
36,66,Female,50,2,2,NA,2,3
37,18,Female,74,4,6,3,6,5
38,52,Male,NA,4,3,2,4,3
39,46,Non-binary,46,4,2,4,3,2
40,33,Female,80,7,5,7,5,7
41,44,Prefer not to say,61,NA,4,2,2,2
42,33,Male,75,3,2,4,4,3
43,72,Female,64,4,3,3,5,4
44,35,Male,76,5,6,3,5,5
45,39,Female,77,5,NA,4,3,4
46,41,Male,72,5,4,5,6,5
47,20,Female,69,6,3,4,2,NA
48,35,Male,88,5,6,6,4,5
49,44,Male,67,4,5,3,4,5
50,21,Female,63,3,4,3,4,4
