psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,48,Prefer not to say,69,5,4,5,5,4
2,28,Male,73,7,5,5,5,5
3,36,Prefer not to say,72,4,3,2,4,NA
4,33,Male,86,5,5,4,NA,5
5,20,Male,68,3,3,3,4,3
6,46,Male,71,4,5,4,4,5
7,52,Non-binary,58,2,1,1,2,1
8,44,Female,NA,4,6,5,4,3
9,58,Female,78,5,5,NA,NA,6
10,42,Non-binary,72,5,4,5,3,4
11,41,Male,88,5,3,5,3,4
12,35,Female,62,4,4,4,4,4
13,59,Male,76,6,4,3,3,4
14,23,Female,90,4,5,5,4,5
15,41,Female,67,3,4,3,3,3
16,37,Female,72,4,4,3,4,4
17,57,Male,64,3,2,3,5,4
18,21,Female,78,6,7,7,6,5
19,40,Female,54,3,2,3,3,1
20,40,Male,65,5,4,4,4,5
21,56,Male,64,5,3,4,5,5
22,91,Female,54,3,2,3,3,3
23,36,Male,74,3,3,3,4,3
24,39,Male,87,6,6,6,6,7
25,40,Male,73,NA,3,4,4,3
26,60,Male,92,4,4,6,5,5
27,27,Non-binary,62,4,2,3,3,4
28,54,Non-binary,66,4,4,4,3,NA
29,52,Female,87,6,6,5,6,6
30,35,Female,75,2,3,NA,4,3
31,20,Male,67,2,4,2,4,3
32,39,Male,78,4,4,5,5,5
33,56,Male,41,4,2,4,4,4
34,57,Female,70,5,4,5,4,4
35,47,Male,70,5,5,3,5,5
36,32,Female,78,5,5,4,4,6
37,39,Prefer not to say,59,3,4,4,4,3
38,40,Female,64,3,2,2,3,3
39,43,Male,73,3,2,2,3,2
40,70,Female,59,4,2,4,4,4
41,50,Female,68,5,NA,4,4,3
42,42,Male,80,6,NA,6,6,6
43,59,Male,49,3,2,2,2,3
44,47,Female,75,3,3,5,4,3
45,61,Male,NA,2,4,5,3,1
46,36,Female,100,5,5,6,6,6
47,33,Male,75,4,6,6,4,4
48,37,Male,77,5,4,5,4,4
49,35,Prefer not to say,51,NA,5,2,5,2
50,22,Male,80,4,3,5,2,2
