psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,61,Female,62,NA,6,6,3,7
2,22,Female,43,1,2,2,1,1
3,51,Female,87,4,6,5,6,3
4,62,Male,63,4,3,3,4,3
5,41,Female,84,5,5,NA,5,4
6,39,Non-binary,69,5,4,3,4,3
7,22,Female,96,7,7,7,6,6
8,56,Prefer not to say,54,2,4,3,2,2
9,40,Male,83,6,5,5,6,6
10,18,Male,63,5,4,5,3,3
11,57,Female,68,4,4,5,4,4
12,38,Female,100,6,5,6,6,6
13,64,Male,59,2,4,2,2,2
14,76,Female,50,2,1,3,2,2
15,56,Female,64,3,3,5,4,NA
16,55,Prefer not to say,90,6,6,7,6,5
17,49,Prefer not to say,59,5,NA,5,4,4
18,42,Female,56,4,4,3,5,4
19,57,Prefer not to say,67,3,2,4,2,4
20,46,Female,65,5,4,4,4,4
21,49,Female,68,4,5,4,5,4
22,27,Male,82,5,5,4,5,4
23,21,Female,60,4,6,4,3,3
24,52,Male,81,5,4,5,4,4
25,53,Female,79,4,3,4,4,4
26,25,Female,62,2,3,3,3,3
27,52,Male,61,3,3,3,4,3
28,40,Female,89,3,5,5,5,5
29,52,Male,NA,NA,4,5,5,4
30,50,Female,66,3,3,2,1,1
31,36,Male,81,6,5,5,4,5
32,51,Female,92,5,5,5,5,6
33,55,Male,72,5,6,NA,4,4
34,59,Male,89,6,6,7,5,5
35,44,Female,54,4,3,3,3,NA
36,49,Female,83,4,5,6,6,6
37,43,Male,85,4,4,5,5,3
38,69,Male,70,2,2,1,2,2
39,38,Female,68,4,2,4,2,4
40,37,Female,72,2,NA,4,5,4
41,69,Female,84,5,5,3,6,5
42,57,Male,87,6,6,6,4,5
43,43,Male,41,3,2,4,2,3
44,31,Male,56,3,3,2,NA,4
45,88,Male,62,3,3,1,3,2
46,41,Non-binary,66,4,5,4,4,4
47,55,Female,NA,2,4,3,NA,1
48,70,Male,83,5,5,5,4,4
49,41,Male,93,4,5,5,5,4
50,60,Male,60,3,4,3,2,4
