psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,28,Female,79,5,4,4,NA,4
2,55,Male,67,4,3,4,4,3
3,36,Male,64,4,6,4,4,4
4,33,Female,55,3,3,NA,2,3
5,29,Female,79,6,6,6,5,5
6,34,Female,62,2,1,3,2,2
7,61,Female,60,3,4,3,5,4
8,28,Female,77,5,3,6,5,5
9,23,Male,74,4,2,3,3,5
10,36,Male,71,3,3,5,4,3
11,21,Female,63,4,3,5,4,4
12,70,Male,86,5,5,4,NA,5
13,44,Female,76,5,5,6,5,5
14,60,Female,69,3,3,5,6,2
15,46,Male,72,5,5,6,4,5
16,27,Female,89,6,5,5,4,NA
17,38,Female,65,3,4,4,5,3
18,33,Male,65,5,3,4,3,6
19,37,Male,68,4,3,4,4,4
20,66,Female,71,2,NA,5,5,5
21,46,Male,85,4,6,5,5,5
22,21,Non-binary,93,6,5,5,5,5
23,49,Male,56,3,3,2,4,3
24,49,Female,63,6,3,2,5,5
25,28,Female,77,NA,4,4,4,4
26,66,Female,75,3,4,4,3,4
27,20,Male,81,4,6,5,6,5
28,35,Male,79,4,4,6,4,5
29,57,Male,78,6,3,4,5,5
30,54,Female,80,5,NA,5,6,5
31,48,Female,100,7,7,7,7,7
32,22,Female,85,6,5,6,6,7
33,49,Female,NA,5,3,3,4,3
34,44,Female,54,1,1,2,1,1
35,63,Male,73,5,3,3,4,3
36,37,Female,65,2,3,3,3,3
37,31,Male,77,4,5,5,4,3
38,52,Male,70,NA,5,7,5,5
39,45,Male,67,5,5,3,4,4
40,59,Female,53,3,3,4,5,NA
41,51,Male,96,5,5,7,4,6
42,39,Female,79,7,6,4,6,6
43,49,Non-binary,56,4,3,NA,3,2
44,51,Male,71,4,3,4,4,3
45,58,Prefer not to say,81,5,5,6,5,6
46,54,Male,78,4,4,4,5,5
47,65,Male,65,4,3,4,5,3
48,19,Male,NA,1,1,2,3,3
49,60,Male,71,4,3,4,6,4
50,40,Female,78,4,3,4,2,4
