psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,36,Female,87,5,5,7,5,6
2,74,Male,67,4,3,3,4,4
3,52,Male,51,4,3,4,4,3
4,69,Male,87,6,5,4,5,5
5,68,Female,78,6,6,6,5,7
6,62,Male,76,3,4,3,4,4
7,46,Male,87,5,4,3,3,4
8,32,Male,54,3,NA,2,3,2
9,20,Male,80,6,5,5,6,6
10,46,Female,84,6,5,7,6,7
11,35,Female,69,4,4,4,5,3
12,28,Non-binary,82,5,5,5,4,5
13,46,Non-binary,71,4,3,2,NA,3
14,28,Female,78,4,5,5,5,4
15,44,Female,71,4,6,5,5,5
16,37,Male,66,5,4,5,4,3
17,54,Female,43,2,2,3,3,NA
18,18,Female,83,NA,4,5,6,4
19,57,Male,70,4,6,5,5,5
20,24,Male,86,3,3,3,2,3
21,28,Male,79,5,4,7,5,6
22,57,Non-binary,51,3,1,2,1,1
23,35,Female,80,4,4,4,4,3
24,47,Female,88,3,5,5,6,6
25,54,Male,75,4,4,5,3,5
26,65,Female,NA,4,4,4,5,3
27,48,Prefer not to say,86,7,6,6,6,7
28,48,Prefer not to say,66,5,4,4,5,6
29,30,Female,70,5,5,5,4,5
30,38,Male,NA,NA,1,4,4,3
31,30,Female,71,2,3,2,2,4
32,33,Female,46,2,2,3,3,1
33,57,Male,87,4,5,4,7,5
34,90,Male,58,2,NA,2,1,NA
35,51,Prefer not to say,75,6,4,5,4,6
36,54,Female,59,5,5,4,4,5
37,20,Female,54,2,3,2,1,3
38,33,Female,78,5,4,NA,4,4
39,34,Male,61,3,6,5,6,3
40,20,Female,73,5,4,5,4,5
41,42,Female,82,3,5,5,4,4
42,39,Non-binary,54,3,1,2,2,3
43,70,Female,85,4,4,2,4,4
44,45,Female,91,6,7,6,NA,7
45,26,Male,77,5,3,3,5,4
46,22,Female,83,5,6,5,5,5
47,43,Female,75,5,3,4,2,4
48,74,Female,71,5,4,3,3,4
49,72,Male,83,4,4,NA,4,5
50,51,Male,88,4,4,4,5,5
