psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,38,Prefer not to say,96,5,5,5,5,4
2,37,Male,66,3,2,5,5,4
3,34,Male,92,5,6,5,6,7
4,48,Prefer not to say,82,6,5,4,NA,5
5,47,Male,86,3,5,5,NA,5
6,24,Female,79,4,5,NA,5,4
7,61,Female,85,5,3,4,4,4
8,26,Female,82,5,6,6,5,5
9,33,Male,78,5,5,4,5,3
10,59,Female,65,4,4,4,3,5
11,31,Non-binary,89,4,5,5,5,4
12,45,Male,63,3,3,NA,3,4
13,42,Male,79,4,4,4,4,3
14,37,Male,77,2,2,3,4,5
15,33,Non-binary,87,4,5,5,5,4
16,49,Male,59,5,5,5,5,4
17,60,Male,60,NA,5,5,5,4
18,30,Female,43,2,2,2,1,1
19,25,Male,55,3,3,4,4,5
20,47,Female,59,2,4,3,3,NA
21,41,Female,82,4,3,6,3,5
22,37,Male,54,3,3,3,4,4
23,55,Female,80,4,6,4,5,5
24,47,Female,73,4,3,4,4,2
25,37,Female,90,4,6,5,4,5
26,43,Non-binary,89,6,5,5,4,6
27,52,Male,65,4,3,4,2,2
28,54,Female,72,4,3,4,5,3
29,44,Male,77,NA,4,4,4,3
30,73,Male,60,3,NA,2,2,2
31,46,Male,56,3,5,4,5,4
32,47,Male,35,2,1,1,2,2
33,57,Female,84,5,5,5,5,4
34,37,Male,81,4,4,5,4,3
35,28,Female,80,5,5,6,5,5
36,55,Male,85,5,5,5,5,5
37,18,Female,78,4,5,4,4,4
38,41,Male,NA,2,3,5,3,2
39,31,Male,68,4,4,4,4,4
40,49,Non-binary,69,3,3,4,5,4
41,48,Male,69,3,3,4,3,3
42,42,Female,NA,5,4,6,4,6
43,19,Female,85,3,4,5,5,NA
44,22,Male,64,4,4,5,4,6
45,54,Female,56,3,4,4,4,3
46,53,Female,51,2,3,4,2,3
47,56,Female,55,2,NA,3,3,3
48,38,Non-binary,61,2,3,2,3,3
49,66,Male,44,2,2,3,3,3
50,49,Female,73,4,5,4,6,4
