psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,38,Female,81,5,5,5,6,6
2,18,Prefer not to say,60,3,2,3,2,1
3,63,Male,69,4,4,4,5,5
4,74,Female,57,4,3,3,3,3
5,40,Female,75,3,2,5,3,NA
6,34,Female,72,3,2,4,1,4
7,29,Male,89,5,5,5,6,7
8,32,Male,67,4,4,5,3,4
9,46,Male,60,4,4,4,3,4
10,34,Male,NA,3,4,NA,4,3
11,25,Female,84,4,4,5,6,6
12,32,Female,82,7,6,5,7,NA
13,19,Female,67,5,3,3,5,3
14,70,Female,100,6,4,5,5,6
15,27,Female,72,2,3,2,3,2
16,41,Female,81,3,4,2,4,5
17,21,Female,49,3,3,3,3,2
18,44,Female,83,4,4,4,5,5
19,36,Male,65,5,3,2,4,5
20,32,Male,66,NA,2,3,2,2
21,37,Male,68,4,3,NA,2,2
22,70,Female,81,4,3,3,4,2
23,39,Non-binary,64,3,3,3,2,4
24,67,Female,72,3,3,3,4,4
25,44,Female,92,4,4,5,3,4
26,42,Female,85,6,4,4,4,6
27,36,Female,61,3,4,3,3,2
28,31,Male,88,7,7,5,6,5
29,42,Male,74,4,4,3,4,4
30,42,Female,50,1,3,3,2,2
31,52,Non-binary,72,4,3,4,3,3
32,54,Non-binary,88,3,3,3,5,2
33,47,Male,73,5,6,5,5,4
34,35,Female,75,5,2,5,4,5
35,24,Male,65,2,3,3,2,2
36,38,Female,72,3,4,4,4,3
37,19,Male,56,2,3,3,NA,2
38,30,Prefer not to say,74,4,6,5,5,5
39,28,Male,76,6,6,4,5,6
40,33,Female,68,4,4,2,5,3
41,49,Female,89,7,7,6,7,7
42,46,Male,69,4,NA,2,4,3
43,19,Male,61,3,5,5,2,2
44,53,Female,76,4,4,6,6,6
45,49,Male,91,5,3,3,5,4
46,20,Male,81,NA,NA,6,NA,4
47,30,Non-binary,NA,4,4,4,4,4
48,34,Male,71,2,3,3,4,2
49,35,Male,82,5,5,5,4,3
50,31,Female,88,5,5,4,4,3
