psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,44,Female,81,4,3,4,5,4
2,44,Female,66,5,5,3,4,5
3,58,Male,84,4,5,5,6,4
4,45,Female,63,4,3,5,NA,4
5,37,Non-binary,70,5,5,4,5,4
6,52,Male,55,3,3,3,1,3
7,31,Male,73,3,3,4,4,6
8,37,Male,80,4,2,5,5,4
9,31,Male,86,6,5,5,6,6
10,46,Female,87,NA,4,3,4,6
11,56,Female,NA,4,5,5,6,4
12,68,Female,73,3,3,2,3,3
13,56,Male,75,4,4,5,4,3
14,43,Male,89,4,5,4,3,6
15,38,Female,92,4,3,4,3,4
16,51,Male,59,3,3,NA,2,2
17,52,Male,64,3,2,3,3,2
18,62,Male,58,2,1,3,3,1
19,47,Female,41,1,1,4,1,2
20,42,Female,90,5,5,4,5,6
21,20,Prefer not to say,61,3,NA,4,3,3
22,52,Male,71,5,4,3,4,5
23,51,Female,58,3,3,4,5,3
24,52,Female,88,5,5,5,4,5
25,53,Male,60,3,5,4,2,4
26,53,Non-binary,58,4,5,2,4,3
27,36,Female,83,NA,5,5,5,NA
28,32,Male,82,4,6,4,NA,4
29,56,Male,91,7,4,6,5,NA
30,24,Male,99,5,5,6,6,7
31,56,Non-binary,77,5,5,6,5,6
32,61,Female,83,3,5,5,4,3
33,57,Female,NA,6,7,5,6,6
34,39,Male,73,5,5,6,5,5
35,21,Female,61,4,4,4,4,3
36,67,Male,62,4,4,3,4,4
37,43,Male,100,5,6,5,6,5
38,49,Female,79,3,3,2,3,4
39,45,Non-binary,83,6,5,5,5,5
40,25,Female,72,3,4,3,3,3
41,53,Male,61,5,3,2,4,3
42,56,Male,49,3,2,2,3,4
43,41,Female,74,5,4,4,4,5
44,66,Male,84,4,5,4,4,5
45,45,Male,51,3,4,2,1,2
46,45,Male,77,6,7,7,5,4
47,35,Female,76,4,4,NA,4,4
48,35,Male,68,4,NA,5,4,3
49,48,Male,72,4,3,4,3,2
50,55,Male,72,5,5,5,4,5
