psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Male,70,4,3,5,6,5
2,39,Prefer not to say,80,5,5,4,5,4
3,48,Female,48,2,2,3,3,2
4,56,Male,51,1,1,2,1,1
5,26,Female,79,3,3,3,4,6
6,23,Male,64,4,5,4,5,4
7,42,Male,73,4,5,4,4,4
8,64,Male,67,4,3,3,3,3
9,49,Female,100,6,6,6,6,7
10,47,Prefer not to say,100,NA,5,7,5,7
11,33,Female,91,3,4,3,4,2
12,40,Female,76,5,4,6,5,5
13,43,Male,68,2,3,1,2,NA
14,20,Female,70,3,NA,2,4,3
15,30,Female,65,4,4,3,5,3
16,25,Female,65,2,3,5,3,4
17,20,Female,71,3,4,4,3,4
18,19,Female,78,5,5,5,6,5
19,60,Male,60,1,2,3,2,3
20,33,Male,88,5,4,4,3,3
21,41,Female,90,4,5,5,6,6
22,52,Male,68,4,3,4,4,3
23,21,Female,64,3,3,3,NA,NA
24,38,Female,67,4,3,3,5,4
25,28,Non-binary,69,3,3,2,1,2
26,18,Female,NA,NA,5,5,6,6
27,38,Female,78,4,6,NA,3,5
28,37,Female,58,3,3,NA,2,5
29,40,Male,60,3,4,3,3,3
30,26,Female,62,2,5,2,2,2
31,31,Female,80,4,5,5,4,3
32,43,Male,72,4,2,3,1,2
33,71,Male,67,2,2,3,2,4
34,40,Male,91,7,5,6,5,6
35,69,Male,82,5,4,4,4,4
36,67,Male,80,3,2,5,2,5
37,47,Female,76,4,5,6,4,5
38,26,Female,49,3,3,2,3,3
39,34,Male,70,5,6,3,3,4
40,21,Female,81,5,4,4,5,6
41,50,Male,83,5,4,3,5,4
42,21,Female,NA,4,5,7,5,6
43,30,Male,46,3,1,1,2,1
44,50,Female,86,2,NA,2,3,2
45,30,Male,97,5,5,3,4,5
46,46,Prefer not to say,69,3,3,2,3,1
47,45,Male,72,5,4,4,NA,5
48,58,Male,77,2,4,3,4,4
49,37,Male,45,2,3,2,1,2
50,37,Female,65,4,3,4,3,3
