psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,33,Female,39,3,3,3,4,4
2,39,Female,56,3,3,4,3,4
3,28,Male,75,7,6,5,6,6
4,29,Male,70,3,3,3,3,3
5,85,Non-binary,61,1,2,2,3,3
6,27,Female,71,1,3,3,4,1
7,44,Female,71,3,4,2,2,3
8,59,Female,66,5,4,4,3,4
9,41,Female,86,5,4,4,4,4
10,34,Female,78,6,5,4,5,5
11,35,Female,86,5,5,3,4,4
12,39,Male,64,3,4,2,2,4
13,42,Female,92,5,5,3,NA,3
14,37,Male,74,5,3,3,5,5
15,54,Female,71,NA,2,2,1,2
16,58,Male,53,3,5,5,4,5
17,54,Male,75,2,3,1,1,1
18,40,Male,95,4,NA,4,5,4
19,47,Male,72,5,2,3,3,NA
20,45,Male,89,5,4,5,4,6
21,35,Female,66,3,3,2,4,3
22,42,Prefer not to say,74,4,4,5,3,4
23,65,Male,58,3,4,4,4,5
24,55,Female,60,4,4,4,NA,4
25,38,Male,46,4,4,3,4,3
26,30,Male,84,5,5,NA,3,4
27,49,Female,39,2,1,1,1,1
28,26,Female,73,5,5,4,4,4
29,37,Male,100,6,5,6,5,7
30,23,Female,NA,5,5,6,4,6
31,47,Female,93,5,6,6,6,6
32,54,Female,79,3,6,5,5,4
33,46,Male,64,4,6,5,5,4
34,42,Male,60,NA,NA,4,4,3
35,67,Female,62,3,2,4,4,3
36,50,Female,62,3,3,5,2,4
37,52,Male,48,2,2,3,4,4
38,51,Male,50,5,4,5,5,6
39,18,Female,65,3,3,4,4,4
40,68,Female,66,3,2,NA,3,3
41,54,Male,70,4,4,2,4,5
42,33,Female,53,3,2,2,4,3
43,21,Female,64,4,3,5,4,5
44,28,Female,NA,5,5,5,6,6
45,21,Female,58,2,3,2,3,NA
46,46,Prefer not to say,79,3,5,3,5,4
47,31,Female,46,1,1,1,1,2
48,31,Female,75,5,3,4,3,4
49,60,Female,66,5,2,3,5,4
50,73,Female,77,3,5,4,4,3
