psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,57,Female,82,6,4,NA,2,4
2,56,Female,68,4,4,5,6,NA
3,48,Male,77,2,5,4,4,4
4,44,Male,73,4,4,3,4,4
5,58,Female,84,2,3,3,4,4
6,26,Female,75,1,2,4,3,3
7,42,Female,77,3,2,3,3,4
8,29,Male,NA,5,NA,4,4,4
9,25,Male,83,4,4,3,5,4
10,56,Male,62,3,4,3,3,2
11,57,Male,97,5,5,4,4,5
12,40,Male,77,3,4,4,5,4
13,36,Male,92,5,4,6,6,6
14,44,Female,76,5,5,5,4,5
15,47,Female,100,7,7,5,7,5
16,43,Prefer not to say,80,6,5,4,5,4
17,18,Male,70,NA,3,2,NA,6
18,61,Male,70,3,5,5,5,4
19,56,Male,56,4,3,3,3,3
20,37,Prefer not to say,67,2,4,3,4,3
21,20,Male,77,4,5,3,5,6
22,30,Female,49,3,2,3,1,2
23,50,Male,60,3,2,2,5,3
24,43,Female,65,5,4,5,6,5
25,48,Female,57,2,3,3,4,4
26,22,Female,80,6,6,5,6,NA
27,33,Male,54,4,3,3,2,5
28,43,Male,75,5,3,4,3,5
29,47,Male,89,6,5,6,7,4
30,41,Male,59,6,4,6,4,5
31,22,Non-binary,62,4,3,3,3,4
32,40,Female,45,2,3,2,1,4
33,23,Female,83,5,6,4,5,5
34,38,Male,NA,5,5,5,4,4
35,45,Prefer not to say,64,4,4,4,3,6
36,42,Female,70,4,6,4,5,5
37,57,Female,75,5,4,4,NA,3
38,51,Female,93,6,5,6,6,7
39,34,Female,89,5,6,4,5,6
40,51,Non-binary,63,3,NA,4,4,6
41,22,Female,61,6,6,5,4,4
42,55,Female,56,2,1,3,1,1
43,47,Male,63,4,3,4,4,4
44,31,Male,49,2,3,3,3,3
45,37,Female,72,NA,4,5,5,3
46,43,Female,66,4,2,3,4,4
47,51,Male,77,4,4,3,3,4
48,54,Male,76,3,4,3,3,4
49,51,Female,72,5,2,4,4,4
50,32,Prefer not to say,83,5,6,NA,4,6
