psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,41,Female,90,6,5,6,6,5
2,41,Female,51,5,4,5,3,4
3,63,Female,86,6,6,7,5,5
4,75,Male,79,3,5,4,4,5
5,50,Female,62,6,5,7,5,5
6,22,Male,70,4,2,3,2,3
7,55,Female,60,2,4,3,3,3
8,35,Prefer not to say,77,3,5,5,4,3
9,21,Male,51,2,1,2,NA,2
10,49,Female,79,5,5,6,5,5
11,51,Male,60,3,NA,1,5,3
12,48,Female,76,5,7,5,5,4
13,33,Female,67,3,3,6,4,2
14,48,Male,77,5,5,4,3,5
15,29,Non-binary,82,NA,5,5,4,5
16,47,Non-binary,74,5,5,NA,3,4
17,37,Prefer not to say,76,3,2,3,2,3
18,42,Female,73,5,4,6,4,3
19,63,Male,67,4,3,4,4,4
20,51,Female,82,4,5,4,4,4
21,61,Female,79,4,3,3,5,5
22,44,Female,94,6,7,7,7,7
23,44,Female,74,6,5,6,6,6
24,58,Male,100,6,5,4,6,7
25,34,Male,76,6,5,4,6,6
26,43,Female,92,6,5,NA,6,4
27,61,Female,80,4,3,4,5,4
28,30,Male,63,3,3,3,4,4
29,35,Male,91,5,5,5,4,6
30,66,Female,88,6,6,6,NA,5
31,27,Male,86,5,5,4,7,4
32,50,Male,59,2,3,3,3,NA
33,40,Male,70,NA,5,6,5,6
34,67,Male,74,5,4,3,4,4
35,44,Prefer not to say,68,4,NA,3,2,2
36,72,Female,NA,3,4,5,4,4
37,20,Male,54,3,3,4,3,4
38,36,Male,70,3,3,4,4,4
39,51,Male,87,6,6,7,7,6
40,32,Female,75,6,5,5,6,7
41,64,Male,73,6,6,5,5,7
42,20,Male,65,3,4,4,6,3
43,46,Male,64,3,2,1,4,3
44,50,Male,NA,3,2,2,3,NA
45,30,Female,78,4,5,5,4,6
46,48,Female,97,3,5,3,6,5
47,24,Female,70,2,2,3,4,5
48,70,Male,74,5,5,4,5,5
49,52,Male,61,3,5,3,3,5
50,69,Female,63,4,5,4,3,4
