psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,44,Female,77,4,4,5,4,4
2,51,Non-binary,64,4,3,4,4,4
3,65,Male,70,2,2,2,NA,3
4,33,Male,83,5,NA,5,5,4
5,50,Female,52,5,4,3,3,5
6,43,Female,73,5,4,6,4,4
7,33,Male,89,5,5,5,4,5
8,36,Female,59,3,3,3,4,4
9,39,Male,90,3,5,4,5,6
10,76,Male,55,3,1,NA,3,3
11,50,Female,84,NA,5,5,4,4
12,36,Prefer not to say,74,5,5,6,5,5
13,50,Female,90,4,4,3,4,4
14,18,Male,83,6,5,5,5,6
15,54,Female,71,5,5,4,4,4
16,35,Male,NA,5,5,6,5,6
17,51,Female,86,5,5,5,6,5
18,23,Male,69,4,5,3,4,NA
19,40,Female,80,5,4,5,5,5
20,60,Male,53,4,3,2,2,2
21,33,Female,71,4,5,5,NA,5
22,38,Female,50,3,2,2,3,2
23,70,Male,79,4,2,6,3,4
24,38,Male,56,2,3,2,3,2
25,24,Female,51,3,2,3,3,2
26,59,Female,79,5,4,5,4,5
27,39,Female,84,4,5,4,5,5
28,20,Female,62,4,3,3,4,4
29,37,Male,64,3,5,3,4,NA
30,47,Male,75,4,5,4,5,5
31,27,Male,88,4,5,4,5,4
32,45,Male,70,4,5,3,3,5
33,37,Male,87,3,4,4,5,5
34,19,Female,74,NA,5,4,6,3
35,56,Male,75,2,3,4,2,4
36,24,Female,82,5,5,4,5,5
37,34,Male,55,2,1,2,1,1
38,54,Male,48,1,2,1,2,3
39,27,Male,69,2,NA,2,2,2
40,60,Female,85,7,7,6,7,5
41,45,Female,80,3,3,3,4,4
42,47,Female,67,4,4,6,3,5
43,70,Female,71,6,6,6,3,5
44,54,Male,65,6,5,5,5,6
45,56,Female,NA,4,4,4,3,3
46,59,Prefer not to say,70,5,4,NA,5,4
47,53,Female,65,3,3,4,4,4
48,50,Female,88,6,5,7,6,7
49,47,Male,65,3,3,2,4,4
50,62,Male,87,5,6,5,5,6
