psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,62,Female,70,3,3,NA,3,4
2,44,Female,51,NA,2,3,3,2
3,36,Male,75,6,4,4,4,4
4,41,Female,66,2,6,6,7,4
5,43,Male,63,4,2,2,2,4
6,24,Male,62,2,NA,3,3,2
7,46,Female,50,4,3,4,3,2
8,47,Male,72,4,5,4,6,NA
9,23,Female,69,4,4,5,3,3
10,57,Female,70,4,3,4,3,4
11,49,Prefer not to say,78,5,5,4,5,6
12,36,Male,79,5,6,4,5,5
13,48,Male,88,5,4,4,4,NA
14,18,Male,64,2,5,3,4,3
15,38,Female,81,3,3,3,5,3
16,41,Male,55,4,4,5,2,2
17,38,Female,69,5,4,4,6,3
18,42,Female,61,3,2,4,2,3
19,60,Non-binary,32,2,4,2,3,2
20,64,Male,72,3,4,3,4,4
21,29,Female,66,2,3,4,4,2
22,55,Female,89,7,6,6,NA,7
23,38,Male,98,7,6,6,7,7
24,52,Female,79,6,5,7,4,6
25,23,Male,82,3,3,3,4,4
26,33,Female,70,3,5,3,3,6
27,53,Female,87,6,5,5,4,6
28,33,Female,77,4,4,2,3,3
29,58,Male,80,3,4,3,4,5
30,46,Male,60,5,5,3,4,5
31,75,Female,54,3,3,2,2,3
32,35,Female,85,5,4,5,5,6
33,31,Female,78,5,3,NA,1,4
34,37,Female,77,5,4,5,4,5
35,47,Female,52,3,1,1,3,3
36,40,Male,NA,NA,5,3,5,4
37,29,Male,77,4,5,6,5,5
38,42,Male,88,6,5,4,5,5
39,52,Male,66,2,NA,3,3,3
40,54,Female,60,2,3,4,1,3
41,62,Male,69,2,3,4,4,3
42,30,Male,69,2,3,3,2,1
43,38,Male,NA,3,3,2,3,3
44,46,Female,62,3,3,3,NA,3
45,47,Female,53,2,3,4,3,3
46,27,Male,77,4,4,5,5,3
47,28,Male,90,6,6,6,5,7
48,47,Male,82,4,4,4,5,3
49,20,Male,42,3,4,2,3,2
50,41,Male,65,5,5,3,5,5
