psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,27,Male,90,5,5,6,4,4
2,21,Female,98,5,4,4,5,5
3,20,Male,71,5,3,3,3,4
4,48,Prefer not to say,63,4,4,4,4,3
5,40,Female,70,3,6,4,3,3
6,55,Non-binary,72,6,3,3,4,4
7,39,Male,70,NA,3,3,3,2
8,52,Female,86,NA,5,6,5,5
9,23,Female,98,7,5,5,5,5
10,44,Male,41,2,NA,4,3,1
11,25,Female,55,2,3,2,3,3
12,44,Female,62,2,3,5,2,3
13,58,Non-binary,83,5,7,5,4,6
14,31,Female,82,5,3,3,3,4
15,62,Male,68,4,3,4,4,5
16,20,Female,72,2,4,NA,3,3
17,69,Prefer not to say,44,3,2,1,3,3
18,30,Male,53,2,1,2,3,2
19,55,Male,47,4,3,3,3,3
20,32,Prefer not to say,52,3,4,3,4,3
21,38,Prefer not to say,68,2,2,3,3,3
22,34,Female,80,3,NA,6,4,5
23,60,Female,86,4,3,4,6,3
24,37,Female,75,5,4,5,5,5
25,53,Male,77,3,4,3,3,3
26,44,Male,NA,2,2,2,4,3
27,42,Non-binary,72,4,4,4,4,5
28,46,Female,85,5,4,5,7,5
29,51,Female,92,7,6,6,5,NA
30,71,Male,71,5,5,5,4,3
31,19,Female,NA,3,3,5,5,3
32,32,Female,77,5,6,4,5,5
33,63,Female,66,4,4,4,3,3
34,45,Female,63,4,3,3,2,4
35,41,Prefer not to say,73,5,6,5,5,5
36,35,Male,71,4,3,4,4,3
37,38,Female,70,5,3,6,4,4
38,53,Female,84,4,5,5,5,4
39,50,Male,61,3,4,2,1,4
40,55,Female,79,5,3,3,4,3
41,47,Male,100,4,6,6,6,NA
42,59,Female,72,5,5,5,6,6
43,45,Male,81,2,4,6,4,3
44,45,Female,97,5,6,7,5,7
45,42,Male,85,3,6,NA,5,6
46,37,Female,67,5,4,2,NA,3
47,26,Male,72,4,3,4,4,4
48,26,Male,81,4,5,5,5,4
49,63,Female,89,4,3,5,NA,3
50,41,Male,89,6,6,5,6,6
