psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,22,Female,77,4,4,5,5,4
2,60,Female,71,4,4,4,4,3
3,29,Male,86,5,5,6,5,6
4,46,Male,72,4,4,1,3,4
5,45,Male,66,4,3,4,5,2
6,42,Female,93,5,6,6,7,6
7,46,Female,72,5,5,5,7,4
8,38,Male,76,6,5,7,NA,6
9,31,Prefer not to say,84,5,4,4,5,3
10,18,Female,NA,4,3,3,3,3
11,54,Female,82,NA,4,4,4,4
12,36,Female,59,3,NA,5,4,4
13,50,Male,74,NA,4,3,4,5
14,57,Male,61,3,NA,4,NA,3
15,56,Female,69,4,3,5,5,4
16,64,Female,86,4,3,4,4,4
17,30,Male,72,4,3,5,3,4
18,25,Male,75,4,6,6,3,3
19,41,Non-binary,72,4,5,3,4,5
20,50,Male,93,4,5,5,5,4
21,79,Prefer not to say,71,4,6,4,5,4
22,19,Female,92,7,6,6,7,NA
23,31,Female,66,3,4,3,3,3
24,43,Female,76,6,6,5,4,NA
25,39,Female,69,4,3,3,4,4
26,68,Male,96,6,5,4,6,4
27,65,Male,84,5,3,4,5,5
28,39,Male,70,2,3,2,3,3
29,60,Male,67,4,3,5,5,4
30,63,Female,72,6,4,4,4,5
31,54,Female,81,4,3,NA,5,4
32,69,Female,60,2,3,3,4,3
33,31,Female,66,4,4,5,5,4
34,39,Male,63,4,4,5,3,4
35,49,Female,37,4,4,4,4,2
36,46,Male,100,4,5,6,4,5
37,39,Male,83,5,4,5,5,5
38,29,Male,47,2,3,3,3,2
39,46,Female,81,5,4,4,5,5
40,46,Male,87,5,4,4,3,5
41,36,Male,80,3,3,5,5,4
42,59,Male,89,5,5,6,4,4
43,56,Male,50,1,1,1,1,2
44,40,Female,57,3,5,2,3,3
45,21,Male,NA,3,1,3,4,2
46,42,Male,73,4,4,4,5,6
47,47,Prefer not to say,75,5,6,5,5,5
48,41,Female,71,5,5,5,3,4
49,26,Male,80,5,4,4,4,6
50,64,Female,72,4,3,NA,4,3
