psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,25,Male,100,5,4,4,4,5
2,49,Male,62,5,5,4,6,5
3,62,Male,64,3,2,5,NA,5
4,52,Female,63,3,2,2,3,3
5,55,Female,68,4,5,7,5,6
6,43,Female,85,4,3,4,4,5
7,55,Female,66,4,4,3,4,3
8,57,Prefer not to say,74,5,4,3,4,4
9,65,Male,72,5,2,3,4,3
10,30,Male,86,4,4,6,4,NA
11,44,Male,84,6,5,5,6,4
12,21,Male,89,5,6,5,5,5
13,62,Male,55,5,3,5,5,4
14,25,Female,62,5,4,5,3,5
15,20,Male,53,1,1,1,1,2
16,38,Female,64,NA,3,4,3,4
17,35,Male,82,4,NA,4,4,4
18,51,Male,55,2,3,2,4,2
19,32,Female,66,5,4,4,5,4
20,57,Male,100,4,6,7,4,4
21,32,Male,69,6,4,7,5,5
22,35,Prefer not to say,90,4,3,5,4,5
23,40,Male,79,4,4,4,5,3
24,30,Female,71,3,2,2,3,4
25,36,Female,61,2,3,4,4,3
26,46,Male,83,4,5,5,4,5
27,53,Female,99,6,6,7,NA,6
28,60,Female,74,4,4,4,4,3
29,40,Male,62,2,5,3,5,5
30,59,Female,78,7,6,2,5,6
31,30,Female,58,2,4,3,4,3
32,28,Male,74,3,3,6,4,4
33,50,Female,83,6,NA,4,4,3
34,54,Male,54,3,2,2,2,3
35,24,Female,89,6,6,6,5,7
36,57,Female,57,5,3,4,4,3
37,66,Female,NA,4,3,3,2,2
38,65,Female,84,5,5,5,4,5
39,40,Female,74,4,3,2,3,3
40,27,Male,84,5,7,3,4,5
41,18,Female,75,5,4,5,4,4
42,45,Female,53,3,4,3,2,2
43,38,Female,68,3,4,5,4,NA
44,59,Non-binary,68,5,4,5,4,3
45,20,Male,79,4,5,6,3,5
46,49,Female,69,3,2,3,2,2
47,50,Female,NA,5,5,3,4,5
48,31,Female,75,5,6,NA,6,6
49,44,Female,72,4,4,4,4,3
50,46,Female,77,NA,4,NA,3,4
