psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Prefer not to say,75,5,6,4,4,3
2,18,Female,67,4,2,1,3,4
3,57,Male,61,3,2,3,2,2
4,55,Female,90,5,6,4,4,5
5,28,Female,64,4,5,4,3,3
6,53,Female,100,4,4,5,2,5
7,50,Female,76,5,3,4,4,5
8,49,Female,78,6,6,6,6,6
9,51,Male,NA,4,5,5,5,5
10,22,Female,70,3,2,3,4,6
11,43,Prefer not to say,71,4,4,5,4,5
12,56,Male,72,4,4,3,4,4
13,52,Female,72,5,NA,3,5,5
14,19,Female,71,6,5,3,6,5
15,32,Male,90,7,7,7,6,7
16,50,Prefer not to say,57,3,3,3,4,3
17,36,Female,96,5,4,4,6,6
18,49,Male,79,4,2,4,4,5
19,44,Male,73,3,3,NA,4,2
20,30,Female,50,6,3,3,4,2
21,21,Male,84,3,4,6,4,4
22,21,Prefer not to say,79,5,4,4,2,NA
23,36,Female,62,4,3,3,4,5
24,63,Male,52,4,2,3,4,NA
25,42,Male,77,NA,4,4,6,4
26,73,Male,44,2,4,3,5,5
27,44,Male,58,4,5,3,3,3
28,65,Male,44,1,3,2,3,4
29,18,Female,82,5,NA,3,NA,4
30,46,Female,70,4,5,4,4,4
31,21,Male,98,4,2,3,5,3
32,79,Male,57,2,3,3,3,4
33,60,Female,98,7,6,5,6,6
34,29,Male,70,4,4,4,3,3
35,48,Female,77,4,4,4,3,4
36,19,Male,90,6,3,5,4,5
37,23,Female,66,5,4,5,3,4
38,48,Female,73,NA,4,4,3,6
39,18,Non-binary,57,3,4,NA,3,3
40,44,Non-binary,71,3,3,2,4,2
41,35,Female,73,3,3,3,4,4
42,23,Female,65,3,4,4,3,4
43,59,Male,77,1,4,2,5,2
44,30,Female,44,3,2,2,2,3
45,44,Female,65,3,3,4,4,2
46,44,Female,70,5,3,6,4,4
47,33,Female,70,4,5,5,NA,5
48,31,Male,NA,5,3,5,4,4
49,59,Male,88,5,6,5,5,5
50,70,Non-binary,100,5,5,4,5,4
