psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Male,61,3,4,2,2,2
2,54,Male,75,4,6,3,5,4
3,50,Male,52,4,4,2,3,5
4,32,Male,74,3,2,4,3,5
5,42,Male,81,3,3,5,4,5
6,42,Female,67,3,4,4,3,3
7,44,Male,46,2,NA,3,1,3
8,37,Female,68,4,3,NA,5,4
9,50,Female,73,4,4,6,5,5
10,49,Female,NA,5,4,4,5,3
11,31,Male,57,4,5,5,4,5
12,21,Female,39,2,2,1,1,1
13,65,Male,59,3,3,4,5,3
14,42,Female,83,5,4,4,6,NA
15,71,Male,84,4,5,4,5,4
16,40,Female,65,NA,4,3,4,4
17,28,Male,74,5,5,4,3,3
18,34,Female,76,4,6,5,5,5
19,19,Male,68,2,3,2,3,3
20,54,Prefer not to say,82,5,4,5,3,5
21,39,Female,71,2,4,NA,2,3
22,84,Non-binary,91,5,4,5,5,3
23,20,Male,63,5,4,3,4,4
24,39,Non-binary,69,4,4,6,NA,3
25,43,Female,56,3,4,5,5,3
26,65,Female,47,3,2,2,2,2
27,40,Male,79,5,5,6,4,5
28,55,Female,97,7,7,6,NA,7
29,54,Male,53,4,3,4,3,4
30,36,Female,100,5,6,5,5,5
31,37,Male,60,2,4,3,3,3
32,56,Female,56,NA,3,2,4,4
33,47,Female,75,3,4,3,4,5
34,31,Male,NA,1,3,2,4,3
35,36,Male,70,4,3,6,4,5
36,52,Male,100,7,6,6,6,6
37,48,Female,89,4,4,4,4,5
38,32,Male,69,3,NA,4,5,5
39,38,Male,75,4,4,5,4,4
40,22,Non-binary,47,1,2,1,2,2
41,43,Female,68,3,3,5,4,3
42,51,Male,53,4,3,4,3,4
43,80,Female,63,5,5,6,5,NA
44,18,Male,52,4,4,6,4,4
45,18,Female,100,5,7,6,5,5
46,42,Male,63,4,4,5,4,4
47,57,Female,72,3,4,4,4,5
48,39,Female,50,3,1,4,2,2
49,31,Female,82,4,6,5,5,6
50,34,Female,77,4,5,5,5,4
