psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,31,Female,90,5,5,4,4,3
2,21,Female,54,2,3,3,3,4
3,33,Female,68,6,5,4,NA,5
4,37,Male,85,5,5,5,4,7
5,20,Male,88,6,5,5,6,6
6,38,Male,67,3,3,4,4,4
7,22,Female,63,4,3,4,5,3
8,58,Prefer not to say,64,4,4,3,3,5
9,19,Male,70,3,2,3,2,3
10,28,Prefer not to say,71,4,4,3,3,5
11,50,Male,32,4,2,2,2,3
12,72,Male,64,4,3,3,4,2
13,61,Male,86,3,5,6,4,4
14,50,Male,89,4,4,4,5,5
15,46,Female,73,5,5,4,5,4
16,47,Female,56,1,2,2,2,1
17,51,Female,63,NA,2,2,NA,5
18,48,Male,51,5,3,6,4,5
19,18,Male,72,NA,4,4,5,4
20,54,Female,65,3,3,3,2,4
21,36,Male,68,4,3,4,2,1
22,53,Female,77,4,4,4,5,2
23,44,Female,65,2,4,2,3,4
24,32,Non-binary,64,4,3,5,5,4
25,58,Female,78,4,5,NA,4,5
26,44,Non-binary,NA,5,4,5,4,5
27,31,Male,92,3,4,4,5,5
28,29,Male,57,3,5,4,5,5
29,35,Female,71,3,2,4,3,3
30,54,Non-binary,79,4,5,4,2,4
31,28,Female,69,6,5,4,4,5
32,34,Female,57,3,4,4,4,5
33,57,Female,88,5,5,5,5,5
34,25,Female,66,3,4,4,5,2
35,44,Female,82,4,5,6,3,NA
36,21,Male,73,4,4,4,5,4
37,19,Male,65,3,3,2,2,NA
38,53,Non-binary,68,4,NA,3,5,5
39,40,Male,78,5,NA,4,5,4
40,48,Male,NA,3,2,3,3,3
41,23,Female,72,3,3,4,3,3
42,36,Male,48,1,3,NA,3,3
43,23,Female,61,5,4,5,3,3
44,49,Female,76,4,3,4,4,3
45,69,Male,73,6,5,7,4,5
46,21,Female,71,5,5,5,4,5
47,35,Female,70,4,5,5,5,3
48,34,Male,57,3,3,3,3,4
49,43,Male,82,4,5,5,5,4
50,58,Female,64,1,4,3,2,4
