psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,42,Male,71,5,4,4,4,4
2,35,Prefer not to say,76,6,5,5,5,5
3,27,Male,73,5,NA,6,4,4
4,52,Female,77,5,5,4,5,5
5,49,Male,83,5,5,4,5,4
6,52,Male,81,6,5,5,6,6
7,26,Male,65,3,4,1,3,2
8,66,Non-binary,41,2,1,1,3,4
9,20,Male,75,4,2,3,4,4
10,29,Female,82,2,4,5,3,3
11,44,Female,64,3,3,NA,3,3
12,26,Male,65,2,2,3,3,3
13,34,Male,89,4,4,NA,4,3
14,29,Male,63,3,2,4,3,5
15,24,Prefer not to say,64,4,5,5,3,4
16,33,Prefer not to say,82,4,5,5,4,4
17,42,Male,63,4,3,3,2,4
18,18,Female,76,4,3,5,4,NA
19,37,Female,99,6,5,7,6,6
20,38,Male,70,4,3,4,4,3
21,52,Male,74,5,4,3,5,5
22,45,Male,61,2,3,3,3,2
23,33,Male,79,3,4,4,NA,3
24,20,Female,68,3,4,3,4,3
25,19,Non-binary,63,5,6,7,5,6
26,46,Female,77,4,3,4,4,5
27,36,Female,84,3,3,3,3,5
28,24,Female,52,4,2,1,2,3
29,20,Male,73,5,4,5,5,5
30,31,Prefer not to say,33,3,3,2,3,2
31,48,Male,74,6,4,6,5,4
32,51,Non-binary,73,5,6,4,5,4
33,51,Male,77,5,5,6,NA,4
34,54,Female,67,4,3,4,4,3
35,57,Female,78,6,2,4,6,6
36,32,Male,70,3,5,3,6,4
37,33,Male,NA,4,5,4,4,3
38,35,Female,79,4,4,5,3,3
39,54,Male,70,4,5,4,5,4
40,31,Prefer not to say,NA,3,4,2,3,NA
41,46,Male,53,3,2,3,3,4
42,40,Male,67,NA,3,5,3,2
43,59,Prefer not to say,48,3,5,4,3,3
44,56,Female,53,4,3,2,3,1
45,45,Prefer not to say,76,NA,5,7,5,5
46,50,Female,80,3,5,4,2,4
47,61,Female,80,3,5,3,5,5
48,46,Male,85,5,NA,5,5,6
49,54,Female,73,4,4,2,4,3
50,20,Female,56,2,2,1,1,1
