psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,54,Female,67,6,5,6,5,4
2,19,Prefer not to say,76,5,4,5,NA,5
3,58,Female,73,3,4,3,5,5
4,21,Female,94,5,4,3,6,5
5,18,Female,55,3,4,3,5,3
6,18,Female,71,3,4,NA,3,4
7,20,Female,76,5,5,5,4,4
8,53,Prefer not to say,48,3,3,2,2,3
9,44,Male,62,3,3,4,3,NA
10,59,Female,51,4,3,3,3,2
11,49,Female,86,5,5,4,5,6
12,58,Female,78,4,5,NA,2,3
13,36,Male,84,5,4,4,4,4
14,49,Female,69,3,2,1,4,3
15,29,Female,83,4,NA,4,6,5
16,55,Female,70,3,3,5,5,4
17,42,Male,70,3,3,3,4,3
18,19,Male,89,3,3,3,4,NA
19,39,Prefer not to say,70,4,3,4,2,4
20,48,Male,93,5,5,6,6,5
21,51,Female,79,6,4,3,4,3
22,24,Male,64,4,3,6,6,4
23,55,Male,76,3,4,4,4,4
24,47,Female,84,NA,4,6,6,4
25,38,Prefer not to say,80,5,3,3,5,5
26,34,Female,83,3,4,3,4,3
27,46,Female,65,4,3,3,4,3
28,47,Female,71,4,4,5,4,2
29,48,Female,48,2,2,2,3,2
30,55,Male,87,6,4,5,5,6
31,73,Non-binary,85,4,5,4,4,5
32,22,Male,56,4,NA,3,4,4
33,34,Male,69,4,6,4,4,4
34,46,Female,69,3,4,3,2,3
35,33,Male,70,3,4,3,3,3
36,39,Female,NA,3,3,3,5,5
37,64,Male,74,3,4,5,NA,4
38,48,Female,65,4,3,5,4,3
39,52,Female,69,2,5,4,3,5
40,36,Female,77,3,4,5,4,4
41,45,Male,77,4,5,5,5,6
42,36,Female,74,3,2,5,4,5
43,18,Male,67,4,6,5,5,5
44,28,Female,81,4,3,5,4,5
45,67,Male,NA,4,3,4,4,3
46,52,Male,76,NA,4,5,7,4
47,33,Male,86,6,5,5,6,4
48,62,Female,100,6,5,5,6,5
49,18,Male,79,4,5,5,4,3
50,36,Male,81,5,5,4,5,4
