psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,49,Male,69,2,4,3,4,1
2,24,Female,48,3,4,4,3,2
3,54,Male,73,3,3,1,3,3
4,59,Female,66,4,4,3,4,3
5,34,Male,83,3,4,NA,4,3
6,49,Male,61,1,4,4,4,4
7,29,Male,67,4,5,4,5,4
8,50,Male,62,2,4,4,3,NA
9,67,Male,65,2,3,3,3,5
10,45,Male,74,5,4,4,3,5
11,43,Male,73,4,4,6,5,4
12,53,Female,NA,4,5,5,4,4
13,65,Male,NA,4,5,4,3,3
14,48,Male,65,6,NA,3,3,4
15,46,Male,62,3,3,4,3,2
16,22,Prefer not to say,65,4,4,4,4,NA
17,20,Male,57,2,4,2,2,3
18,53,Female,75,5,5,6,NA,5
19,57,Female,58,3,3,3,2,2
20,47,Male,60,5,3,4,3,4
21,61,Female,79,NA,5,6,4,4
22,33,Male,67,3,3,2,3,3
23,33,Prefer not to say,96,5,5,4,5,4
24,44,Male,84,3,NA,3,2,3
25,20,Male,70,4,2,4,4,5
26,35,Female,70,3,3,4,3,3
27,64,Male,86,5,6,5,5,6
28,18,Male,69,4,4,5,5,4
29,64,Male,56,4,3,2,2,3
30,50,Male,76,4,5,NA,4,4
31,46,Male,60,4,6,4,5,3
32,24,Prefer not to say,67,3,3,4,4,3
33,20,Prefer not to say,92,5,5,5,4,5
34,61,Male,66,4,4,4,4,5
35,60,Female,75,4,3,4,4,4
36,23,Male,64,4,4,3,4,5
37,42,Female,75,4,5,4,3,4
38,32,Female,72,4,4,4,5,5
39,22,Female,92,5,4,5,5,3
40,21,Male,87,5,5,4,5,6
41,56,Female,66,4,2,4,2,4
42,40,Female,87,5,5,4,5,5
43,53,Male,67,4,5,4,4,4
44,26,Female,85,5,5,5,5,5
45,61,Male,88,6,4,5,4,5
46,33,Female,70,2,3,2,3,4
47,60,Non-binary,86,NA,4,5,5,3
48,23,Female,70,5,5,5,NA,4
49,71,Male,57,3,4,4,4,3
50,47,Male,57,3,4,2,5,5
