psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,52,Female,87,4,5,3,4,5
2,29,Male,66,NA,4,3,5,4
3,47,Prefer not to say,94,4,4,4,4,5
4,40,Female,76,2,3,3,4,NA
5,34,Female,88,5,6,5,5,6
6,22,Female,48,4,3,3,4,2
7,59,Female,NA,4,4,6,4,5
8,29,Male,84,5,3,4,5,4
9,66,Male,78,5,5,5,4,6
10,55,Male,72,4,4,5,2,5
11,51,Male,61,4,4,NA,4,6
12,65,Female,98,6,5,6,6,5
13,55,Female,68,5,4,4,5,5
14,39,Female,69,4,5,6,2,4
15,29,Male,89,5,6,4,4,6
16,50,Male,93,7,7,5,6,5
17,18,Female,75,3,3,3,4,3
18,62,Prefer not to say,78,5,5,4,4,4
19,63,Male,79,4,5,5,4,4
20,66,Prefer not to say,51,2,3,3,3,3
21,60,Male,72,5,4,NA,5,5
22,30,Female,37,3,2,2,2,1
23,21,Female,72,4,6,4,5,6
24,20,Female,65,5,4,5,4,4
25,40,Female,40,1,1,3,2,2
26,37,Male,59,4,4,3,3,4
27,50,Prefer not to say,92,3,4,5,4,4
28,40,Female,61,4,3,4,4,3
29,50,Male,76,4,4,4,NA,4
30,47,Female,87,5,6,5,5,5
31,56,Male,69,3,2,2,3,4
32,20,Male,53,3,5,5,2,2
33,71,Male,NA,4,4,3,4,3
34,22,Non-binary,64,3,4,2,3,3
35,55,Male,66,3,3,2,3,2
36,54,Non-binary,72,2,3,3,3,3
37,53,Male,70,2,2,2,3,3
38,59,Female,85,6,NA,4,5,5
39,28,Female,66,5,5,6,7,4
40,91,Female,52,3,2,4,3,3
41,63,Female,66,3,2,3,2,3
42,22,Female,73,6,5,5,6,7
43,46,Male,65,4,4,3,5,3
44,34,Male,61,NA,3,2,2,2
45,41,Female,68,5,4,5,5,4
46,51,Female,48,2,2,5,2,2
47,18,Female,79,5,NA,7,6,NA
48,49,Male,62,4,2,2,2,2
49,29,Male,73,3,4,3,NA,3
50,42,Female,69,4,5,4,3,4
