psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,18,Female,78,5,5,4,5,4
2,48,Female,68,3,1,5,5,4
3,18,Male,56,3,3,3,NA,3
4,53,Male,90,7,5,7,6,7
5,54,Female,68,2,3,4,3,4
6,65,Male,87,5,5,4,5,4
7,61,Male,95,5,3,5,3,4
8,26,Male,NA,NA,5,4,5,5
9,61,Female,68,5,4,5,4,4
10,49,Female,63,5,4,4,4,6
11,45,Female,65,4,4,3,4,4
12,20,Female,71,4,5,5,5,4
13,44,Female,81,5,3,4,5,5
14,20,Female,86,5,5,3,4,5
15,64,Female,74,5,3,5,4,3
16,26,Male,94,4,4,4,5,4
17,76,Female,60,3,4,3,3,3
18,48,Female,52,4,3,3,3,3
19,41,Female,77,4,3,4,3,3
20,41,Male,80,4,5,6,NA,4
21,25,Female,81,5,5,7,7,6
22,20,Male,56,4,3,2,4,NA
23,45,Female,83,4,3,5,3,5
24,68,Male,81,5,6,5,4,3
25,38,Female,61,2,2,NA,2,3
26,51,Male,80,4,5,4,5,4
27,67,Prefer not to say,67,3,5,4,3,4
28,40,Male,75,6,2,3,3,4
29,30,Female,85,4,3,5,5,4
30,37,Male,76,5,5,5,4,6
31,32,Female,73,4,3,4,4,3
32,21,Male,91,6,6,4,7,6
33,33,Male,73,3,NA,3,3,4
34,42,Male,67,3,3,3,4,3
35,28,Prefer not to say,64,3,4,4,4,4
36,19,Male,59,3,5,5,4,4
37,52,Male,83,3,5,NA,3,4
38,36,Female,77,6,5,6,6,5
39,56,Male,64,4,4,2,5,4
40,26,Female,62,4,3,1,3,2
41,22,Female,72,3,4,6,4,NA
42,20,Male,68,4,4,4,5,2
43,56,Female,81,6,5,4,5,5
44,37,Female,70,3,NA,3,4,4
45,45,Female,58,NA,4,3,4,4
46,49,Female,66,5,4,4,4,4
47,49,Female,NA,3,3,4,1,1
48,54,Male,69,4,4,5,4,4
49,58,Female,56,3,3,3,5,4
50,52,Male,87,7,7,7,6,7
