psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,42,Male,67,5,3,5,4,5
2,39,Female,74,4,5,4,4,NA
3,35,Female,81,4,3,4,5,5
4,26,Male,83,6,5,NA,4,3
5,28,Female,70,4,6,5,5,5
6,29,Prefer not to say,59,4,5,5,4,7
7,54,Female,76,5,2,1,2,5
8,21,Female,60,NA,5,5,4,4
9,64,Female,100,5,5,4,5,5
10,48,Female,54,4,3,4,3,2
11,38,Non-binary,70,4,4,5,4,4
12,19,Non-binary,68,5,2,5,3,5
13,51,Male,90,6,4,4,5,3
14,51,Male,79,5,5,5,6,5
15,31,Non-binary,50,3,4,3,2,2
16,71,Female,58,3,3,4,4,3
17,67,Female,75,6,5,6,NA,4
18,36,Non-binary,82,5,2,NA,4,5
19,20,Male,82,4,4,4,3,3
20,29,Male,84,4,5,6,5,5
21,39,Male,65,4,2,5,3,4
22,31,Male,62,4,NA,2,NA,2
23,66,Female,78,NA,5,5,7,5
24,31,Male,68,4,5,5,4,3
25,52,Male,52,4,3,4,5,2
26,32,Male,87,6,3,4,4,4
27,45,Male,77,3,4,4,2,3
28,19,Male,49,3,1,5,3,3
29,29,Non-binary,60,2,2,3,2,1
30,30,Prefer not to say,83,5,5,4,5,3
31,48,Female,65,4,4,4,5,3
32,19,Female,63,3,3,3,3,4
33,32,Male,79,5,4,5,4,4
34,38,Male,61,5,5,5,5,7
35,23,Female,71,3,4,2,4,3
36,54,Male,63,4,3,3,5,3
37,47,Female,92,6,5,5,4,6
38,39,Non-binary,59,4,3,4,3,NA
39,24,Female,73,2,2,2,2,2
40,35,Female,52,3,2,2,3,3
41,59,Female,72,3,4,5,6,5
42,20,Female,NA,3,5,5,5,6
43,47,Male,58,2,3,5,3,2
44,27,Female,41,3,3,2,1,1
45,50,Male,63,4,NA,3,5,2
46,49,Female,NA,6,4,5,5,5
47,53,Female,77,3,2,3,3,4
48,35,Female,74,3,4,3,3,3
49,42,Male,85,3,5,3,4,4
50,39,Prefer not to say,52,3,3,1,2,2
