psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,23,Male,73,6,7,5,4,5
2,23,Male,66,4,5,NA,NA,4
3,37,Male,75,6,5,5,4,5
4,36,Non-binary,85,5,4,3,4,4
5,50,Female,70,1,3,3,2,4
6,22,Prefer not to say,NA,3,2,2,3,2
7,44,Male,84,4,5,2,4,5
8,29,Female,79,4,4,3,4,5
9,64,Female,60,2,3,2,3,2
10,42,Male,47,NA,3,2,3,2
11,64,Male,58,1,1,1,1,2
12,54,Male,96,5,4,5,5,4
13,53,Female,71,6,5,5,4,3
14,35,Female,62,2,2,3,4,2
15,32,Male,83,5,4,5,NA,5
16,20,Female,78,3,3,1,2,NA
17,27,Female,64,5,4,4,4,4
18,45,Male,89,4,6,6,5,5
19,50,Female,70,5,6,4,5,6
20,37,Female,81,3,3,5,4,2
21,37,Female,75,5,7,5,6,5
22,41,Female,72,4,4,4,3,3
23,41,Male,89,4,3,5,5,5
24,44,Male,75,3,3,NA,4,4
25,38,Male,NA,2,4,2,4,5
26,36,Female,79,3,1,4,4,4
27,55,Male,87,6,7,6,5,6
28,29,Male,84,5,5,5,5,4
29,52,Female,45,2,2,2,2,2
30,43,Male,70,2,3,3,2,4
31,23,Female,71,3,4,6,5,4
32,19,Female,72,4,3,3,3,6
33,56,Female,64,4,3,2,3,5
34,27,Male,67,2,3,3,3,3
35,40,Female,90,6,NA,6,5,7
36,46,Male,100,5,5,5,4,5
37,49,Female,63,2,2,3,3,2
38,23,Female,67,4,4,2,3,3
39,43,Male,60,NA,4,4,3,NA
40,51,Male,73,4,4,5,5,4
41,38,Female,34,2,2,1,2,2
42,54,Male,85,6,4,4,6,3
43,38,Male,73,4,4,5,5,4
44,39,Male,56,5,5,4,6,5
45,62,Male,71,4,4,5,6,4
46,19,Male,64,3,3,3,4,3
47,43,Male,86,4,NA,6,6,3
48,40,Female,68,3,4,5,3,4
49,36,Female,72,3,4,4,3,4
50,19,Female,75,3,3,2,3,3
