psn_id,age_yrs,sex_cat,ml_meaning_slider,RB_1_freq,RB_2_freq,RB_3_freq,RB_4_freq,RB_5_freq
1,48,Female,NA,6,5,3,5,4
2,29,Non-binary,81,4,5,5,4,5
3,32,Male,47,3,2,4,3,4
4,27,Female,81,5,6,6,6,5
5,44,Male,81,7,7,7,6,6
6,43,Female,72,4,4,2,2,4
7,41,Prefer not to say,72,NA,4,4,4,2
8,48,Female,75,3,4,4,4,4
9,50,Male,76,4,3,6,3,2
10,63,Female,44,2,2,2,1,4
11,37,Female,53,2,2,1,1,4
12,32,Male,94,5,6,7,7,5
13,69,Non-binary,64,NA,5,5,5,4
14,47,Male,83,5,NA,NA,5,5
15,20,Female,71,4,4,5,5,4
16,47,Female,74,6,4,5,4,5
17,76,Female,65,4,4,6,5,5
18,38,Female,70,4,5,4,6,3
19,64,Female,69,5,5,5,NA,5
20,43,Female,75,4,4,4,4,5
21,55,Male,45,4,5,5,6,4
22,39,Male,86,5,6,6,6,5
23,29,Female,60,1,4,2,3,4
24,32,Female,81,5,5,2,4,4
25,34,Female,64,5,5,3,5,5
26,42,Female,71,1,2,NA,3,3
27,43,Female,70,5,5,6,3,4
28,41,Female,86,3,4,3,4,4
29,59,Female,78,6,5,5,5,6
30,36,Non-binary,58,3,2,3,2,3
31,37,Female,71,3,5,4,4,4
32,64,Female,41,5,6,4,5,6
33,52,Female,70,5,4,2,4,4
34,36,Male,79,4,4,4,4,5
35,46,Female,46,1,2,4,2,2
36,48,Female,NA,4,5,3,5,4
37,45,Male,63,3,4,6,4,4
38,76,Prefer not to say,66,5,4,4,4,3
39,39,Female,67,4,NA,2,2,2
40,48,Female,61,3,2,3,2,NA
41,34,Male,83,3,3,3,5,5
42,53,Male,77,6,5,5,5,5
43,44,Female,77,1,3,2,3,4
44,30,Non-binary,75,4,3,5,2,3
45,43,Male,100,5,5,5,6,5
46,49,Male,68,4,3,3,NA,3
47,79,Female,82,4,5,4,5,4
48,41,Prefer not to say,61,3,3,3,3,3
49,35,Female,82,3,3,2,2,NA
50,71,Female,75,4,5,3,4,4
